O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Manish,Bahujan Samaj Party,55,61,72,35,61,112,47,41,169,484,956,174,163,561,299,31,36,116,82,606,125,112,520,201,45,56,1102,640,165,123,129,81,267,808,145,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
2,RAJEEV GUMBER,Bharatiya Janata Party,1707,132,118,1927,979,1227,4374,198,3535,5482,6651,7029,6904,1576,553,1824,5136,7570,5004,1505,4038,9572,6052,7699,4218,1448,4729,4848,6711,7636,5666,2495,6173,5119,2459,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
3,SUKHWINDER KAUR,Indian National Congress,49,58,33,38,39,60,46,61,63,97,84,128,169,58,47,52,43,31,37,50,40,30,52,57,64,31,156,128,86,75,79,46,83,51,25,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
4,SANJAY GARG,Samajwadi Party,7381,8541,7635,7965,8120,7261,4453,8337,4950,833,688,844,956,6240,6929,5198,3445,625,3163,6865,4364,642,1757,1058,4583,6478,1894,915,1395,697,933,6684,1830,853,802,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
5,AVTAR SINGH,Akhand Bharat Vikas Party,16,28,21,22,26,22,16,16,10,5,12,3,3,21,14,7,4,1,11,19,10,7,15,8,13,14,2,3,8,6,7,14,5,3,6,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
6,USMAN MALIK,Aam Aadmi Party,7,7,6,3,10,6,19,9,12,7,7,11,25,10,5,4,7,8,2,9,3,5,5,8,3,8,10,17,9,13,8,7,8,5,3,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
7,KAMROODDIN,Sanyukt Vikas Party,1,4,6,6,3,7,4,7,1,10,5,1,8,7,1,1,1,4,3,9,1,3,7,6,4,0,11,4,2,3,2,13,12,7,4,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
8,MANSOOR AHMED,Aazad Samaj Party (Kanshi Ram),16,43,42,21,33,19,22,49,27,15,47,7,5,10,27,14,5,4,5,78,35,2,17,11,9,6,34,6,5,4,11,43,7,11,2,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
9,RITA,Bahujan Mukti Party,31,8,26,37,75,15,7,9,2,4,4,3,4,4,2,5,9,0,7,16,18,3,13,9,6,3,12,3,3,0,1,12,2,3,4,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
10,SALLOUDEEN RAJA,Lok Dal,3,7,7,4,7,12,4,11,4,3,10,5,3,5,1,3,1,0,3,11,2,1,1,6,3,8,5,3,3,0,1,7,3,6,0,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
11,PULKIT THAKRAL,Independent,4,3,4,3,4,3,1,4,3,8,4,4,4,2,3,0,2,2,2,5,4,2,2,1,4,2,1,1,5,1,3,5,1,3,3,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
12,SANJAY KUMAR,Independent,4,5,8,3,4,3,4,6,4,11,14,10,12,4,1,2,1,4,7,8,5,3,4,22,6,2,4,2,4,2,9,5,6,9,7,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
13,NOTA,None of the Above,17,26,27,33,22,16,18,11,20,17,35,28,32,23,16,17,9,17,12,22,27,15,23,16,26,18,16,19,33,27,33,22,26,17,11,Uttar Pradesh-Saharanpur Nagar,Saharanpur Nagar
