O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Tanveer Khan,Samajwadi Party,1976,2913,2327,1618,2474,1205,3805,4191,4875,3329,2702,5205,2587,1844,3246,4648,6699,4343,4057,2547,2920,1600,2589,2482,2966,5712,3916,3427,3512,3839,Uttar Pradesh-Shahjahanpur,Shahjahanpur
2,Smt. Poonam,Indian National Congress,45,40,35,58,46,91,36,50,35,27,51,40,57,66,56,20,54,52,39,27,36,42,58,42,45,47,55,52,31,34,Uttar Pradesh-Shahjahanpur,Shahjahanpur
3,Sarvesh Chandra Dhandhu,Bahujan Samaj Party,484,350,625,472,1057,339,421,239,176,199,184,85,85,221,111,91,94,110,172,121,131,67,45,262,497,197,209,515,619,383,Uttar Pradesh-Shahjahanpur,Shahjahanpur
4,Suresh Kumar Khanna,Bharatiya Janata Party,5522,3743,3567,3164,3843,4219,2750,2102,2531,3247,4266,2229,3843,3990,3465,2255,1678,3113,3338,4237,4172,6097,4951,4748,3642,2867,4109,3977,3462,4061,Uttar Pradesh-Shahjahanpur,Shahjahanpur
5,Manoj Kumar,Rashtriya Samaj Paksha,92,32,34,22,41,33,20,20,30,21,14,10,9,13,16,15,14,18,8,25,25,16,20,36,26,24,23,22,27,46,Uttar Pradesh-Shahjahanpur,Shahjahanpur
6,Rajiv Kumar,Aam Aadmi Party,19,15,5,29,6,12,12,16,22,12,12,8,12,14,5,7,1,5,8,6,17,5,8,5,5,4,6,9,10,9,Uttar Pradesh-Shahjahanpur,Shahjahanpur
7,Rajeev Kumar Saxena,Bhartiya Krishak Dal,13,2,5,8,4,6,1,5,1,2,1,3,2,2,2,2,1,1,0,11,6,1,1,2,7,4,3,5,3,2,Uttar Pradesh-Shahjahanpur,Shahjahanpur
8,RAM DAYAL,Bharatiya Subhash Sena,10,7,7,3,6,6,1,5,5,2,4,0,0,1,2,3,1,0,3,1,2,3,0,1,3,1,4,6,3,6,Uttar Pradesh-Shahjahanpur,Shahjahanpur
9,Rahul Mohan,Lok Janshakti Party(Ram Vilas),6,3,6,1,9,3,2,3,2,13,5,2,0,3,2,2,2,6,5,4,2,1,5,2,4,0,4,11,6,5,Uttar Pradesh-Shahjahanpur,Shahjahanpur
10,Shahadeva Kumar,Sabka Dal United,11,15,11,3,7,4,0,4,0,1,3,1,1,4,3,1,3,2,1,2,2,4,1,8,6,3,6,4,5,8,Uttar Pradesh-Shahjahanpur,Shahjahanpur
11,Ajay Mera Pandey,Independent,15,8,8,4,5,5,1,7,3,4,3,3,1,13,1,7,2,4,7,6,13,50,18,9,9,4,8,4,9,8,Uttar Pradesh-Shahjahanpur,Shahjahanpur
12,Aradhana,Independent,18,10,9,4,5,9,7,11,7,2,3,2,3,4,5,7,2,3,1,3,5,2,1,8,5,9,8,10,12,10,Uttar Pradesh-Shahjahanpur,Shahjahanpur
13,Lokesh Shrivastava,Independent,45,31,28,18,30,13,11,12,15,9,9,2,2,7,5,17,11,3,9,13,10,5,9,26,23,11,29,22,34,44,Uttar Pradesh-Shahjahanpur,Shahjahanpur
14,Wakar Ahamad Khan,Independent,7,15,13,10,11,13,7,4,2,7,3,4,2,1,0,4,1,7,0,8,7,1,0,7,8,3,3,10,16,16,Uttar Pradesh-Shahjahanpur,Shahjahanpur
15,Sanjay Kumar,Independent,15,10,7,1,7,3,9,5,5,4,1,2,1,3,3,1,18,3,1,5,8,2,1,5,8,8,6,12,11,6,Uttar Pradesh-Shahjahanpur,Shahjahanpur
16,NOTA,None of the Above,38,49,35,31,34,20,41,40,49,28,16,28,18,17,30,30,25,21,40,21,30,28,34,39,28,26,33,35,54,43,Uttar Pradesh-Shahjahanpur,Shahjahanpur
