O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ASHUTOSH TRIPATHI,Bahujan Samaj Party,653,774,1112,439,166,418,228,559,756,1183,548,562,750,519,565,585,657,930,702,553,490,673,613,510,1019,863,856,817,606,Uttar Pradesh-Pratapgarh,Pratapgarh
2,NEERAJ TRIPATHI,Indian National Congress,230,140,293,465,122,338,258,250,168,228,105,117,231,315,270,221,387,202,226,297,234,225,276,80,182,78,122,93,66,Uttar Pradesh-Pratapgarh,Pratapgarh
3,RAJENDRA KUMAR,Bharatiya Janata Party,4209,4175,3688,3022,2577,3741,3051,3431,3601,3926,2589,2756,2878,3002,2885,2976,2756,3286,2965,3854,2918,2388,2602,2613,3264,3088,2764,1883,2336,Uttar Pradesh-Pratapgarh,Pratapgarh
4,ISRAR AHMAD,All India Majlis-E-Ittehadul Muslimeen,61,190,114,115,170,46,120,289,444,150,463,188,76,113,187,99,118,305,441,127,124,81,215,200,192,297,574,370,600,Uttar Pradesh-Pratapgarh,Pratapgarh
5,KRISHNA PATEL,Apna Dal (Kamerawadi),1643,1545,2095,1831,3268,1719,2438,2200,1956,1514,2609,2587,1555,2219,2308,2617,1819,2210,2038,1424,1929,2166,3573,1916,1817,2427,2890,3220,2516,Uttar Pradesh-Pratapgarh,Pratapgarh
6,DINESH KUMAR UPADHYAY,Aam Aadmi Party,21,28,46,28,20,15,26,33,50,39,23,27,34,31,52,31,34,35,20,25,31,37,44,36,38,28,49,34,38,Uttar Pradesh-Pratapgarh,Pratapgarh
7,Bajrangi Lal,Kisan Party (Loktantrik),12,9,15,3,5,9,17,18,11,29,56,17,11,23,17,21,32,19,6,12,17,21,58,16,21,16,25,31,13,Uttar Pradesh-Pratapgarh,Pratapgarh
8,MOHAMMAD IRSHAD,Apana Dal Balihari Party,8,6,10,5,5,2,11,14,12,7,7,17,14,13,9,8,8,13,3,15,12,9,24,11,11,14,11,22,14,Uttar Pradesh-Pratapgarh,Pratapgarh
9,RAM AJOR,Bahujan Mukti Party,15,15,20,11,4,9,10,27,19,40,19,23,36,49,27,61,36,22,16,27,48,92,111,32,28,30,25,41,22,Uttar Pradesh-Pratapgarh,Pratapgarh
10,Ram Bahadur Sharma,Moulik Adhikar Party,31,54,59,16,27,42,24,51,40,40,53,52,68,55,60,58,63,43,38,51,55,71,87,38,75,56,62,73,90,Uttar Pradesh-Pratapgarh,Pratapgarh
11,ASHOK KUMAR,Independent,28,41,60,25,16,12,30,56,57,37,36,58,38,44,51,64,45,64,38,41,40,41,73,40,47,50,65,54,71,Uttar Pradesh-Pratapgarh,Pratapgarh
12,Paritosh Kumar,Independent,50,43,39,20,19,10,23,32,43,40,32,45,48,62,45,51,39,56,36,30,46,51,78,47,60,67,66,68,63,Uttar Pradesh-Pratapgarh,Pratapgarh
13,HARIKESH KUMAR,Independent,27,31,43,24,18,13,21,31,38,28,27,38,38,59,55,58,54,52,34,26,44,47,75,42,47,50,72,51,58,Uttar Pradesh-Pratapgarh,Pratapgarh
14,NOTA,None of the Above,46,43,52,30,28,28,29,50,56,38,30,38,50,48,56,53,55,48,37,52,37,37,57,31,58,62,67,51,61,Uttar Pradesh-Pratapgarh,Pratapgarh
