O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,R-43,state_city,constituency_from_link
1,AJIT KUMAR PAL,Bahujan Samaj Party,761,838,877,313,359,505,97,174,597,1419,835,680,613,479,621,442,515,996,705,725,722,133,68,155,377,388,199,166,296,257,244,402,566,371,258,757,694,1803,942,518,1476,610,68,Uttar Pradesh-Sahibabad,Sahibabad
2,AMARPAL SHARMA,Samajwadi Party,2600,2062,8795,7074,2883,1638,6831,7019,1839,2512,2222,1484,1546,1632,3376,4691,2363,2122,2729,2349,2077,1272,976,1291,1909,1475,1106,1233,3000,1917,1249,1460,1931,2016,1833,2009,5161,938,1503,1189,2156,2173,118,Uttar Pradesh-Sahibabad,Sahibabad
3,SUNIL KUMAR SHARMA,Bharatiya Janata Party,7786,9267,3759,3656,8222,8571,4239,2994,8801,6817,6990,8766,9416,8565,6031,4649,6486,6934,7962,7213,7990,9403,8234,9657,9898,9013,8991,9045,6476,7864,7715,8911,9122,9370,8797,6761,4452,8067,9655,8224,7221,9119,936,Uttar Pradesh-Sahibabad,Sahibabad
4,SANGEETA TYAGI,Indian National Congress,240,224,126,91,392,240,183,100,336,244,269,408,409,288,182,83,87,92,130,149,115,291,418,386,286,427,369,436,215,319,268,263,201,227,328,137,129,186,272,224,206,254,10,Uttar Pradesh-Sahibabad,Sahibabad
5,ANIMA OJHA,Right to Recall Party,6,17,9,9,10,5,7,11,4,9,6,2,8,4,5,10,7,8,7,12,7,5,7,7,6,8,14,3,10,1,3,1,11,6,9,6,7,6,6,5,10,2,0,Uttar Pradesh-Sahibabad,Sahibabad
6,CHHAVI YADAV,Aam Aadmi Party,223,191,59,42,377,139,167,62,260,195,129,274,245,211,190,56,51,174,152,121,170,219,285,328,268,242,214,247,172,151,170,135,129,157,155,58,44,65,88,88,74,165,2,Uttar Pradesh-Sahibabad,Sahibabad
7,BHUPENDRA NATH,Jan Adhikar Party,9,10,20,11,9,10,8,15,1,3,13,6,11,11,10,8,6,13,11,9,5,4,0,1,2,4,0,5,7,4,4,5,10,4,3,8,9,10,5,7,12,6,1,Uttar Pradesh-Sahibabad,Sahibabad
8,MANMOHAN JHA,All India Majlis-E-Ittehadul Muslimeen,142,71,326,388,176,23,636,1240,62,60,83,11,11,3,91,118,54,83,62,28,21,9,5,2,10,12,10,12,132,40,7,20,39,19,15,28,127,7,13,15,50,43,0,Uttar Pradesh-Sahibabad,Sahibabad
9,SUJIT TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),24,20,13,12,4,13,7,16,9,5,8,2,10,5,5,7,3,8,7,13,3,1,1,1,3,5,1,5,6,3,2,10,27,16,22,41,18,26,9,8,29,9,1,Uttar Pradesh-Sahibabad,Sahibabad
10,SMT. GEETANJALI,Independent,34,18,26,16,11,5,4,18,15,7,17,4,6,7,17,21,15,18,23,25,18,5,0,2,2,4,1,5,16,8,7,8,29,13,13,15,12,18,14,10,44,5,1,Uttar Pradesh-Sahibabad,Sahibabad
11,VIJAY KUMAR,Independent,23,21,40,14,9,6,16,13,8,18,23,3,11,9,19,27,9,11,17,19,15,7,1,2,3,4,2,6,6,4,7,3,18,10,11,28,28,12,10,5,31,2,1,Uttar Pradesh-Sahibabad,Sahibabad
12,NOTA,None of the Above,42,48,69,38,66,74,96,51,101,94,72,109,130,85,43,30,45,43,52,48,35,99,118,122,92,118,114,122,59,66,60,54,50,58,61,30,43,46,60,42,68,72,5,Uttar Pradesh-Sahibabad,Sahibabad
