O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,KAMAL KUMAR,Bharatiya Janata Party,1808,1830,3475,3922,2661,1326,4982,4360,4224,5060,7306,3915,3379,1272,2569,572,1465,424,1140,1687,2142,3588,3738,1675,2806,1252,967,2439,1285,2199,1304,1227,52,416,Uttar Pradesh-Kundarki,Kundarki
2,ZIA UR REHMAN,Samajwadi Party,4951,5370,4481,3179,5553,5734,1727,3088,3254,2716,1114,2060,3184,5568,4892,5653,5467,4811,4108,4350,3604,3909,2087,4625,3266,3700,4081,2889,4209,3748,4100,3483,321,183,Uttar Pradesh-Kundarki,Kundarki
3,DARAKSHA BEGUM,Indian National Congress,51,30,57,44,63,50,24,33,44,62,30,25,30,54,27,61,44,30,46,52,35,46,25,37,39,43,45,26,342,65,77,74,2,2,Uttar Pradesh-Kundarki,Kundarki
4,MOHD. RIZWAN,Bahujan Samaj Party,719,698,1547,948,625,709,724,588,807,931,670,1279,1001,1277,1045,1542,892,1914,3024,705,2162,1419,2165,2183,1487,1228,2992,1644,2328,1260,806,1222,75,29,Uttar Pradesh-Kundarki,Kundarki
5,JABIR HUSAIN,Aam Aadmi Party,12,21,20,16,8,11,8,9,16,17,11,23,18,23,12,229,5,35,128,10,23,18,16,61,33,20,61,27,55,13,9,7,0,0,Uttar Pradesh-Kundarki,Kundarki
6,MOHD. VARISH,All India Majlis-E-Ittehadul Muslimeen,228,641,330,79,317,423,47,89,76,30,11,109,112,165,239,597,467,1623,561,613,468,129,188,543,668,1265,619,1294,1148,182,630,326,18,13,Uttar Pradesh-Kundarki,Kundarki
7,VIPIN KUMAR,Shiv Sena,17,15,13,8,7,7,14,5,13,9,7,3,2,3,12,4,9,18,7,18,8,14,12,37,8,16,11,15,16,10,6,6,0,0,Uttar Pradesh-Kundarki,Kundarki
8,FAIZAN,Independent,8,9,7,9,8,7,7,6,7,6,6,12,3,6,6,8,7,6,4,13,9,9,8,11,8,13,6,6,15,7,4,5,0,0,Uttar Pradesh-Kundarki,Kundarki
9,MUSLIM AHMAD,Independent,12,10,13,12,5,9,10,8,18,8,7,11,11,10,12,14,10,28,17,19,16,12,10,21,12,17,20,33,27,4,9,15,0,1,Uttar Pradesh-Kundarki,Kundarki
10,MOHD. RIZWAN,Independent,9,7,22,9,10,8,9,8,10,11,15,12,7,8,6,7,7,9,7,11,9,14,7,9,5,12,10,10,8,10,4,6,0,1,Uttar Pradesh-Kundarki,Kundarki
11,SHAHNAWAZ,Independent,19,20,24,14,13,13,14,22,22,18,30,20,14,18,23,18,20,14,15,17,9,19,17,17,15,16,13,11,14,26,8,19,0,3,Uttar Pradesh-Kundarki,Kundarki
12,NOTA,None of the Above,58,52,106,80,50,44,78,70,83,53,104,72,55,42,58,37,57,26,39,52,42,82,55,47,43,39,48,55,51,47,33,27,0,1,Uttar Pradesh-Kundarki,Kundarki
