O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,MAMTA BHARTI,Indian National Congress,117,153,172,153,254,183,99,261,143,163,87,132,282,115,144,118,187,165,152,41,3,3,Uttar Pradesh-Hargaon,Hargaon 
2,RANU CHAUDHARY,Bahujan Samaj Party,1211,746,681,608,1106,1157,705,759,806,697,451,839,806,1142,555,1023,903,646,947,375,33,1,Uttar Pradesh-Hargaon,Hargaon 
3,RAMHET BHARTI,Samajwadi Party,4567,4838,4960,3869,3863,3643,2646,3818,3609,4799,5108,4868,4573,2985,4308,3537,3885,3952,3117,759,81,432,Uttar Pradesh-Hargaon,Hargaon 
4,SURESH RAHI,Bharatiya Janata Party,5263,4897,4788,7031,6002,5110,6656,6789,5939,6302,5382,4745,5919,7500,6210,7279,6173,6519,5850,1831,219,161,Uttar Pradesh-Hargaon,Hargaon 
5,ARJUN LAL,Communist Party of India (Marxist-Leninist) (Liberation),108,106,116,166,142,106,112,147,117,168,109,95,123,157,100,177,182,131,188,41,4,5,Uttar Pradesh-Hargaon,Hargaon 
6,KHUSHIRAM CHAUDHARY,Ambedkar Samaj Party,23,19,19,25,26,29,40,33,38,34,32,23,33,35,36,42,40,27,50,7,0,2,Uttar Pradesh-Hargaon,Hargaon 
7,RAMPAL,Lok Bandhu Party,27,37,31,28,51,32,33,36,33,49,39,20,35,42,27,30,52,37,45,9,4,0,Uttar Pradesh-Hargaon,Hargaon 
8,SAURABH KISHORE,Aazad Samaj Party (Kanshi Ram),76,90,84,64,116,60,63,75,134,76,66,86,83,48,56,53,46,35,60,20,0,0,Uttar Pradesh-Hargaon,Hargaon 
9,SUMAN,Independent,18,26,42,30,30,34,40,33,109,190,30,26,36,42,31,29,35,27,34,13,0,1,Uttar Pradesh-Hargaon,Hargaon 
10,NOTA,None of the Above,68,74,71,62,92,68,77,110,88,105,106,57,115,92,92,93,109,75,94,34,0,3,Uttar Pradesh-Hargaon,Hargaon 
