O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,Kamla Rawat,Indian National Congress,168,130,147,86,95,179,165,154,172,69,60,120,72,69,76,124,110,125,104,104,29,Uttar Pradesh-Sidhauli,Sidhauli 
2,Pushpendra Kumar or Dr. Pushpendra Pasi,Bahujan Samaj Party,1046,1717,1935,1903,2064,1608,1769,1981,1297,539,519,1617,2140,1114,1362,1459,1796,2213,1199,1601,589,Uttar Pradesh-Sidhauli,Sidhauli 
3,Manish Rawat,Bharatiya Janata Party,5924,5311,5555,4513,4686,5076,6185,5277,5976,4723,4813,4697,3790,4566,5078,5605,5442,4628,6409,5912,1856,Uttar Pradesh-Sidhauli,Sidhauli 
4,Dr. Hargovind Bhargava,Samajwadi Party,3606,4459,5364,4317,4972,5448,3711,2387,4105,4997,5806,5317,5958,5577,5826,4134,4617,4790,4332,5400,998,Uttar Pradesh-Sidhauli,Sidhauli 
5,Kanhiya Lal,Aam Aadmi Party,52,47,55,54,50,64,69,35,63,42,34,76,70,62,68,58,41,77,63,61,13,Uttar Pradesh-Sidhauli,Sidhauli 
6,Mahendra Kumar Rawat,Awami Samta Party,18,20,19,18,38,50,22,15,33,40,12,19,18,19,43,21,29,16,78,8,7,Uttar Pradesh-Sidhauli,Sidhauli 
7,Rajkaran,Voters Party International,24,24,20,12,12,18,13,21,21,15,12,44,15,19,27,23,18,15,13,35,13,Uttar Pradesh-Sidhauli,Sidhauli 
8,Virendra Kumar,Sarv Rajya Party,20,12,21,17,19,19,12,34,23,8,11,14,25,17,26,16,25,20,18,25,10,Uttar Pradesh-Sidhauli,Sidhauli 
9,Aditya Prakash,Independent,43,21,49,32,26,48,36,47,43,23,19,27,25,33,38,39,38,24,35,33,10,Uttar Pradesh-Sidhauli,Sidhauli 
10,Imartilal,Independent,32,34,38,28,35,31,36,42,34,15,22,33,21,28,30,22,24,28,38,49,10,Uttar Pradesh-Sidhauli,Sidhauli 
11,Satish Kumar Bhargava,Independent,46,53,50,25,38,39,64,42,50,30,24,46,35,32,39,40,43,31,43,49,14,Uttar Pradesh-Sidhauli,Sidhauli 
12,Sunita Rawat,Independent,56,48,60,39,29,41,84,72,41,26,12,43,49,31,31,38,40,43,46,47,13,Uttar Pradesh-Sidhauli,Sidhauli 
13,NOTA,None of the Above,85,94,75,58,72,65,104,97,83,74,50,85,74,72,60,73,48,95,70,100,22,Uttar Pradesh-Sidhauli,Sidhauli 
