O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Pankaj Mishra,Bahujan Samaj Party,643,1118,1196,490,119,252,544,125,52,31,462,472,406,568,915,840,1687,1870,432,1117,844,498,774,700,917,818,564,214,17,Uttar Pradesh-Sirsaganj,Sirsaganj
2,PRATIMA PAL,Indian National Congress,35,41,38,29,23,37,41,47,26,27,34,28,142,28,89,32,36,30,42,37,40,35,59,26,49,65,46,27,12,Uttar Pradesh-Sirsaganj,Sirsaganj
3,SARVESH SINGH,Samajwadi Party,4168,2013,2326,4866,4515,4960,5425,5393,5270,4850,2974,4102,3256,3615,1324,3867,2374,1712,2021,3174,2972,3037,1589,4090,4574,2324,1749,1694,1349,Uttar Pradesh-Sirsaganj,Sirsaganj
4,HARIOM YADAV,Bharatiya Janata Party,3004,4066,3160,2040,1814,1614,1835,2416,1970,1454,3127,1831,2436,3052,5076,3588,3358,3068,5253,3291,3320,3142,4949,2230,2716,4052,3918,4485,728,Uttar Pradesh-Sirsaganj,Sirsaganj
5,Capt. Amit Chauhan,Aam Aadmi Party,13,29,13,32,18,14,10,19,27,9,79,12,27,33,35,19,18,20,25,17,21,16,28,8,33,32,26,26,4,Uttar Pradesh-Sirsaganj,Sirsaganj
6,KEDAR SINGH KUSAWAHA,Bahujan Mukti Party,16,48,27,8,2,3,5,18,3,2,9,17,5,65,97,6,63,28,35,52,50,4,49,4,15,66,118,3,0,Uttar Pradesh-Sirsaganj,Sirsaganj
7,TUKMAN SINGH YADAV,"Adarsh Janta Party,",9,11,4,7,6,8,4,4,10,10,7,1,6,5,10,17,6,7,6,10,4,2,8,3,16,3,13,9,3,Uttar Pradesh-Sirsaganj,Sirsaganj
8,Sunil Kumar Lodhi,Bharatiya Kisan Parivartan Party,10,9,4,7,3,10,12,5,12,7,12,8,14,19,21,19,12,7,7,12,7,15,11,16,20,14,11,9,3,Uttar Pradesh-Sirsaganj,Sirsaganj
9,JAYVEER SINGH,Independent,12,21,26,12,7,14,9,20,29,19,24,10,21,19,22,19,17,9,9,12,9,24,20,17,42,28,22,26,4,Uttar Pradesh-Sirsaganj,Sirsaganj
10,SHALINI,Independent,18,18,9,15,23,33,28,27,32,29,27,16,34,27,10,28,18,8,5,22,17,18,8,13,55,20,21,18,17,Uttar Pradesh-Sirsaganj,Sirsaganj
11,HARIOM,Independent,19,14,8,18,15,20,10,13,18,12,17,14,8,22,14,16,19,9,9,16,13,12,10,11,29,28,29,16,3,Uttar Pradesh-Sirsaganj,Sirsaganj
12,NOTA,None of the Above,34,41,29,35,21,29,32,28,48,18,35,25,29,45,36,34,39,38,25,45,31,28,33,36,53,57,47,23,13,Uttar Pradesh-Sirsaganj,Sirsaganj
