O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,BALVEER PAL,Bahujan Samaj Party,1239,1901,1833,1216,1501,2346,1626,1662,2123,2245,1365,1226,870,2051,1516,2263,2037,1986,2118,1713,1710,1863,418,1432,740,797,704,880,1262,448,63,29,65,Uttar Pradesh-Manikpur,Manikpur
2,RANJANA BARATI LAL PANDEY,Indian National Congress,74,83,163,476,113,97,99,84,146,103,178,396,165,92,78,131,73,124,114,141,98,160,64,126,154,137,81,138,81,91,9,7,5,Uttar Pradesh-Manikpur,Manikpur
3,VEER SINGH PATEL,Samajwadi Party,1678,2767,2299,1752,1861,2201,1838,1798,2392,1444,2601,2501,2218,2807,2815,1772,2231,3292,2215,3020,2212,1710,3898,3738,2810,2811,1892,2237,2199,1941,162,144,423,Uttar Pradesh-Manikpur,Manikpur
4,AVINASH CHANDRA TRIPATHI,Aam Aadmi Party,55,35,63,50,62,70,77,187,141,54,48,55,98,67,69,57,26,68,58,56,52,76,86,67,63,68,46,54,54,50,6,7,14,Uttar Pradesh-Manikpur,Manikpur
5,AVINASH CHANDRA DWIVEDI,Apna Dal (Soneylal),2665,1986,2194,2640,3015,2479,2528,3000,2244,2244,2436,2836,3150,1888,2551,1993,2386,1653,3232,2063,2434,3144,1890,1826,1758,2260,2384,3833,1824,1593,312,281,184,Uttar Pradesh-Manikpur,Manikpur
6,PUSHPENDRA KUMAR TRIPATHI,Bundelkhand Vikas Dal,39,26,55,58,47,50,57,50,45,43,37,47,47,46,57,43,43,40,40,29,43,70,31,53,38,48,42,46,40,34,0,2,4,Uttar Pradesh-Manikpur,Manikpur
7,RAMSURAT,Ambedkar Samaj Party,34,44,60,54,67,55,47,43,41,78,75,47,62,57,51,70,47,41,64,31,66,86,35,49,43,47,55,59,49,54,2,5,7,Uttar Pradesh-Manikpur,Manikpur
8,SHIVPOOJAN,Jan Adhikar Party,28,107,68,41,47,65,59,45,44,53,205,89,49,46,86,40,41,53,103,45,75,74,97,34,59,261,293,74,218,330,6,1,11,Uttar Pradesh-Manikpur,Manikpur
9,ALI HUSAIN,Independent,15,37,37,27,36,29,33,30,34,44,47,38,39,35,24,49,23,45,28,42,30,50,63,39,36,52,42,120,42,40,2,1,7,Uttar Pradesh-Manikpur,Manikpur
10,RAJPRATAP,Independent,31,28,45,24,21,27,20,14,27,34,31,39,23,43,24,23,14,32,34,23,25,30,12,26,23,22,28,30,29,25,3,1,4,Uttar Pradesh-Manikpur,Manikpur
11,NOTA,None of the Above,98,119,157,95,85,126,92,80,105,170,133,104,74,115,75,155,95,145,115,102,106,142,84,118,94,124,91,116,94,84,5,8,13,Uttar Pradesh-Manikpur,Manikpur
