O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ZAFAR ALAM,Samajwadi Party,2907,982,1224,1606,5841,3686,2875,1824,2664,5500,6700,2093,8347,7281,4662,6551,6830,6625,8270,7523,4350,1390,3096,1104,816,665,901,622,167,Uttar Pradesh-Aligarh,Aligarh
2,MUKTA RAJA,Bharatiya Janata Party,5066,4446,7208,5021,2193,5051,5898,5183,5544,2835,104,4798,490,1339,4613,2105,2377,1630,1783,442,3117,6874,5746,8481,7633,6001,6267,6279,1396,Uttar Pradesh-Aligarh,Aligarh
3,RAZIA KHAN,Bahujan Samaj Party,511,3117,484,1451,299,151,1267,517,322,475,195,1633,33,313,227,166,237,459,583,74,574,406,232,522,378,1073,1562,572,332,Uttar Pradesh-Aligarh,Aligarh
4,MOHD SALMAN IMTIAZ,Indian National Congress,178,90,101,54,70,68,78,117,48,54,44,43,32,115,101,40,116,235,50,23,51,88,85,99,64,78,75,71,13,Uttar Pradesh-Aligarh,Aligarh
5,DILEEP KUMAR,Independent,12,8,6,10,9,4,6,3,4,8,6,4,5,4,3,4,2,7,6,5,0,10,13,12,4,5,8,5,4,Uttar Pradesh-Aligarh,Aligarh
6,MONIKA THAPAR,Aam Aadmi Party,46,35,51,28,12,45,78,25,25,24,6,33,7,10,45,15,15,52,12,2,24,36,41,49,31,32,31,38,8,Uttar Pradesh-Aligarh,Aligarh
7,RAMGOPAL,Independent,1,11,3,5,1,3,6,3,29,16,6,22,3,3,7,15,93,13,10,2,2,11,50,39,158,72,241,17,1,Uttar Pradesh-Aligarh,Aligarh
8,RIHANUDDIN,Independent,4,16,5,7,9,9,11,5,12,11,10,14,12,7,4,7,11,12,11,10,2,9,19,9,4,10,15,6,2,Uttar Pradesh-Aligarh,Aligarh
9,RENUKA SHARMA,Independent,5,7,2,4,5,4,6,3,6,3,7,10,4,4,3,6,7,4,5,7,8,8,11,8,4,6,10,6,0,Uttar Pradesh-Aligarh,Aligarh
10,KESHAV DEV,Independent,5,17,12,7,2,2,8,5,6,3,4,10,8,6,5,1,8,3,4,7,2,9,13,11,6,8,10,9,4,Uttar Pradesh-Aligarh,Aligarh
11,VINOD KUMAR,Independent,10,18,12,22,8,6,26,9,31,19,11,29,5,5,15,21,20,14,11,14,2,12,32,19,23,9,49,10,8,Uttar Pradesh-Aligarh,Aligarh
12,NOTA,None of the Above,32,35,33,22,33,45,46,39,32,34,40,47,36,27,27,36,28,42,59,50,18,30,45,52,47,28,36,39,10,Uttar Pradesh-Aligarh,Aligarh
