O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,ANIL JOSHI,Shiromani Akali Dal,2298,1846,2217,2132,2662,1997,1549,2591,2009,1625,2351,1343,1657,1068,1122,1252,Punjab-Amritsar North,Amritsar North
2,SUKHMINDER SINGH PINTU,Bharatiya Janata Party,456,669,511,792,595,379,797,747,441,902,954,1384,1414,1415,1462,877,Punjab-Amritsar North,Amritsar North
3,SUNIL DUTTI,Indian National Congress,1331,839,1504,1293,1825,1112,1051,1364,1384,1260,818,1107,1082,971,961,1023,Punjab-Amritsar North,Amritsar North
4,KUNWAR VIJAY PRATAP SINGH,Aam Aadmi Party,3583,3656,3782,4195,3670,3240,3959,4104,4077,4031,2864,3261,3565,3733,4032,2078,Punjab-Amritsar North,Amritsar North
5,DAVINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),25,46,57,47,71,71,60,43,27,30,19,17,23,18,25,6,Punjab-Amritsar North,Amritsar North
6,MAHESH KUMAR,Peoples Party of India (Democratic),34,20,13,21,13,14,27,53,40,20,12,10,17,26,19,18,Punjab-Amritsar North,Amritsar North
7,MORIS,Bahujan Mukti Party,108,14,14,7,28,3,9,10,3,5,30,6,4,4,6,3,Punjab-Amritsar North,Amritsar North
8,VARINDER KUMAR,Aas Punjab Party,10,1,6,5,15,10,6,12,10,8,5,2,6,10,5,7,Punjab-Amritsar North,Amritsar North
9,PANKAJ KHOSLA,Independent,10,8,17,16,11,4,8,19,12,5,7,3,2,4,4,9,Punjab-Amritsar North,Amritsar North
10,BAL KRISHAN SHARMA,Independent,19,4,15,22,18,12,5,23,26,8,7,5,4,7,7,11,Punjab-Amritsar North,Amritsar North
11,MANOJ BEDI,Independent,12,6,14,14,14,13,7,18,27,18,6,4,1,1,5,5,Punjab-Amritsar North,Amritsar North
12,ROOP LAL,Independent,13,2,13,16,20,11,8,17,28,2,3,5,2,2,7,8,Punjab-Amritsar North,Amritsar North
13,VISHAL JOSHI,Independent,18,5,11,13,16,15,10,16,26,5,9,8,3,5,4,13,Punjab-Amritsar North,Amritsar North
14,NOTA,None of the Above,56,48,49,71,49,60,43,55,70,52,42,41,34,43,36,45,Punjab-Amritsar North,Amritsar North
