O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,JASVIR SINGH GARHI,Bahujan Samaj Party,2173,2233,2110,2322,2602,2599,2355,2335,1399,604,1266,1350,639,1744,2614,2341,428,16,Punjab-Phagwara,Phagwara
2,Joginder Singh Mann,Aam Aadmi Party,2408,2219,2072,2078,2085,2089,1592,1981,1628,1832,2306,2448,2298,2073,2084,2651,447,101,Punjab-Phagwara,Phagwara
3,Balwinder Singh Dhaliwal,Indian National Congress,1965,2221,1727,1874,2712,2124,2278,2846,2765,1725,2365,2021,2799,3139,2200,1812,476,53,Punjab-Phagwara,Phagwara
4,VIJAY SAMPLA,Bharatiya Janata Party,290,178,177,170,212,299,349,1223,1346,2260,1823,1472,2425,1274,1398,222,56,234,Punjab-Phagwara,Phagwara
5,KULDEEP SINGH NOOR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),564,623,389,234,335,185,226,119,118,67,91,107,101,140,97,295,74,3,Punjab-Phagwara,Phagwara
6,JARNAIL NANGAL,Lok Insaaf Party,207,97,200,126,220,229,409,197,123,253,257,82,103,100,614,354,35,33,Punjab-Phagwara,Phagwara
7,KHUSHI RAM,Independent,80,109,103,84,85,57,64,57,54,24,68,58,36,51,58,71,41,4,Punjab-Phagwara,Phagwara
8,NOTA,None of the Above,55,58,51,50,54,45,43,71,61,80,72,70,67,60,85,65,13,6,Punjab-Phagwara,Phagwara
