O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,ABDUL SATTAR,Communist Party of India (Marxist),109,39,85,38,37,12,19,17,17,34,67,11,9,31,12,Punjab-Malerkotla,Malerkotla
2,NUSRAT ALI KHAN,Shiromani Akali Dal,838,925,1333,1149,480,84,378,374,253,418,510,247,396,721,297,Punjab-Malerkotla,Malerkotla
3,MOHAMMAD JAMIL UR RAHMAN,Aam Aadmi Party,4768,5113,5675,3815,4420,4001,4474,4652,5245,5324,4088,3518,3385,4309,2911,Punjab-Malerkotla,Malerkotla
4,RAZIA SULTANA,Indian National Congress,2232,2045,2678,2390,3158,4327,3267,1694,4118,3497,3865,3791,3249,3026,860,Punjab-Malerkotla,Malerkotla
5,SAYED MANZOOR GELANI,Punjab National Party,12,11,28,11,13,10,25,9,21,9,20,6,12,11,10,Punjab-Malerkotla,Malerkotla
6,HASAN MOHAMMAD,Apni Ekta Party,27,44,24,28,22,8,7,16,13,9,16,10,13,17,12,Punjab-Malerkotla,Malerkotla
7,F. NESARA KHATTON (FARZANA ALAM),Punjab Lok Congress Party,293,76,87,81,65,32,453,921,159,95,142,538,601,196,16,Punjab-Malerkotla,Malerkotla
8,MOHAMMAD ANWER,Lok Insaaf Party,9,11,13,7,7,4,13,4,6,7,8,15,13,4,4,Punjab-Malerkotla,Malerkotla
9,SAIF UR ISMAIL,Independent,8,15,6,14,7,5,7,5,3,7,6,3,6,4,2,Punjab-Malerkotla,Malerkotla
10,DHARMINDER SINGH,Independent,8,15,20,15,14,13,11,14,8,8,11,10,8,11,1,Punjab-Malerkotla,Malerkotla
11,MOHINDER SINGH,Independent,46,53,32,35,39,9,14,6,5,11,10,5,6,34,8,Punjab-Malerkotla,Malerkotla
12,MOHAMMAD SHAKEEL,Independent,18,25,26,21,25,13,9,12,13,6,20,12,7,11,9,Punjab-Malerkotla,Malerkotla
13,MOHAMMAD ZUBAIR,Independent,39,31,28,24,45,33,37,19,32,36,40,33,18,29,11,Punjab-Malerkotla,Malerkotla
14,MOHAMMAD MUNIR,Independent,27,38,30,26,25,13,14,5,21,23,21,23,8,25,20,Punjab-Malerkotla,Malerkotla
15,MOHAMMAD YASIN (GUGGI),Independent,25,13,31,12,15,12,12,7,19,15,25,6,9,13,11,Punjab-Malerkotla,Malerkotla
16,NOTA,None of the Above,50,72,69,54,46,19,56,63,39,36,32,40,47,34,29,Punjab-Malerkotla,Malerkotla
