O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,AMARJIT SINGH ASAL,Communist Party of India,89,72,86,92,81,82,67,86,110,84,101,130,103,79,82,20,Punjab-Amritsar West,Amritsar West
2,KUMAR AMIT ADVOCATE,Bharatiya Janata Party,481,451,618,513,408,816,807,733,814,697,352,332,514,761,543,93,Punjab-Amritsar West,Amritsar West
3,DR. JASBIR SINGH SANDHU,Aam Aadmi Party,4472,4696,4912,4506,4784,3516,3627,4219,4522,4640,4699,4291,4845,5496,4633,990,Punjab-Amritsar West,Amritsar West
4,DALBIR SINGH,Shiromani Akali Dal,531,736,485,785,678,455,426,492,590,613,1178,1163,889,464,699,147,Punjab-Amritsar West,Amritsar West
5,RAJ KUMAR VERKA,Indian National Congress,1639,1730,1513,1893,1622,1919,1733,1109,1435,1723,1526,2109,2128,1683,1237,240,Punjab-Amritsar West,Amritsar West
6,SUCHA LAL,Aas Punjab Party,23,37,35,34,20,16,20,12,19,29,29,45,38,28,31,5,Punjab-Amritsar West,Amritsar West
7,SHAM LAL GANDHI,Independent,18,24,14,21,19,6,9,4,19,13,33,21,27,15,19,6,Punjab-Amritsar West,Amritsar West
8,GAGANDEEP SINGH,Independent,17,44,22,17,27,7,12,9,10,13,40,42,24,18,14,5,Punjab-Amritsar West,Amritsar West
9,JUGRAJ SINGH,Independent,51,87,81,84,57,50,34,32,38,43,84,83,85,81,63,14,Punjab-Amritsar West,Amritsar West
10,ADVOCATE NIRMAL PREET SINGH HIRA,Independent,21,22,21,41,13,16,8,2,24,10,33,40,32,17,9,2,Punjab-Amritsar West,Amritsar West
11,NOTA,None of the Above,46,72,67,82,52,42,56,58,73,53,78,90,88,45,63,13,Punjab-Amritsar West,Amritsar West
