O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,N. K. SHARMA,Shiromani Akali Dal,2407,2371,1719,1813,1868,1567,1647,1720,2584,1957,2217,2236,2222,1776,2127,2114,2603,2357,2379,2286,1763,2181,1764,Punjab-Dera Bassi,Dera Bassi
2,SANJIV KHANNA,Bharatiya Janata Party,402,928,1698,2064,1640,2229,1986,1460,1369,1906,603,499,1620,1790,1074,715,230,176,995,1882,240,274,1123,Punjab-Dera Bassi,Dera Bassi
3,KULJIT SINGH RANDHAWA,Aam Aadmi Party,3792,2811,2196,2023,2017,2373,2525,3190,3077,2647,4045,4090,3133,2866,2670,3178,4229,4266,3447,2934,3307,3029,2025,Punjab-Dera Bassi,Dera Bassi
4,DEEPINDER SINGH DHILLON,Indian National Congress,2320,2108,2333,1941,1959,1917,2197,1756,1670,1294,2028,2297,1491,1696,2477,2558,2265,1797,2723,2236,2204,2510,2483,Punjab-Dera Bassi,Dera Bassi
5,SARBJIT SINGH ROCKY,Republican Party of India (Athawale),12,18,10,10,10,5,7,11,16,5,8,20,11,7,26,14,53,17,22,19,17,25,21,Punjab-Dera Bassi,Dera Bassi
6,KULWINDER SINGH,Aam Aadmi Parivartan Party,42,39,10,13,14,33,20,27,28,19,46,46,29,27,39,50,74,38,44,25,61,31,27,Punjab-Dera Bassi,Dera Bassi
7,YOG RAJ SAHOTA,Right to Recall Party,8,13,5,7,6,6,7,6,6,4,18,15,8,9,14,23,14,10,9,9,9,10,8,Punjab-Dera Bassi,Dera Bassi
8,AVTAR SINGH,Independent,52,38,29,16,21,18,18,35,26,13,75,56,19,20,31,66,226,75,66,17,74,103,31,Punjab-Dera Bassi,Dera Bassi
9,SHIV KUMAR MANWANI,Independent,19,13,7,6,9,2,2,10,10,3,16,17,5,8,22,8,20,13,17,8,18,14,17,Punjab-Dera Bassi,Dera Bassi
10,SEEMA JAIN,Independent,14,12,8,9,19,12,3,3,12,4,21,28,8,8,21,21,26,18,12,10,8,19,18,Punjab-Dera Bassi,Dera Bassi
11,DAVINDER SINGH,Independent,20,10,8,6,5,7,5,1,10,4,18,19,10,7,18,10,21,16,16,12,17,7,13,Punjab-Dera Bassi,Dera Bassi
12,PARAMVIR SINGH,Independent,68,40,19,16,11,9,8,19,12,3,79,36,21,9,73,55,44,40,56,33,41,57,79,Punjab-Dera Bassi,Dera Bassi
13,BALJINDER SINGH,Independent,36,35,12,7,14,11,12,13,14,11,24,28,10,14,53,56,30,42,27,30,30,32,34,Punjab-Dera Bassi,Dera Bassi
14,RAJ Kumar,Independent,13,17,13,6,6,3,26,16,9,6,15,17,13,16,34,19,14,12,20,15,10,9,19,Punjab-Dera Bassi,Dera Bassi
15,NOTA,None of the Above,67,75,60,66,39,69,68,56,76,68,67,48,57,64,63,72,57,56,74,60,43,53,52,Punjab-Dera Bassi,Dera Bassi
