O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,GURPERVEZ SINGH,Bharatiya Janata Party,156,84,320,80,189,152,152,251,369,297,337,602,569,162,187,51,Punjab-Guru Har Sahai,Guru Har Sahai
2,FAUJA SINGH,Aam Aadmi Party,4492,4545,3530,3892,3561,5027,4730,4762,4701,4838,4715,4252,3688,4311,3706,3019,Punjab-Guru Har Sahai,Guru Har Sahai
3,VARDEV SINGH,Shiromani Akali Dal,3092,3235,3053,4615,3992,4012,3205,4087,3081,3371,3924,4170,3639,3727,3761,2533,Punjab-Guru Har Sahai,Guru Har Sahai
4,VIJAY KUMAR,Indian National Congress,423,255,563,320,257,267,383,434,286,243,274,441,440,261,529,174,Punjab-Guru Har Sahai,Guru Har Sahai
5,KULWANT SINGH,Jai Jawan Jai Kisan Party,34,26,32,30,19,27,14,31,27,35,18,30,18,19,18,13,Punjab-Guru Har Sahai,Guru Har Sahai
6,JATINDER SINGH THIND,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),107,72,70,171,83,117,129,84,19,48,43,39,27,54,74,67,Punjab-Guru Har Sahai,Guru Har Sahai
7,KULDEEP SINGH,Independent,8,10,5,11,5,12,11,8,9,10,12,9,7,9,8,5,Punjab-Guru Har Sahai,Guru Har Sahai
8,GURBHEJ SINGH,Independent,9,9,10,7,7,8,9,11,4,9,15,14,9,4,2,5,Punjab-Guru Har Sahai,Guru Har Sahai
9,PARKASH SINGH,Independent,17,7,8,13,13,12,11,10,14,17,14,18,3,10,3,6,Punjab-Guru Har Sahai,Guru Har Sahai
10,PARWINDER SINGH,Independent,14,9,10,7,10,6,6,7,8,12,16,16,15,9,3,4,Punjab-Guru Har Sahai,Guru Har Sahai
11,MANOJ KUMAR,Independent,11,7,11,10,4,14,4,5,10,14,14,14,8,5,5,5,Punjab-Guru Har Sahai,Guru Har Sahai
12,MALKEET SINGH,Independent,39,18,23,22,21,40,25,41,28,72,40,48,20,39,23,11,Punjab-Guru Har Sahai,Guru Har Sahai
13,MAJOR SINGH,Independent,28,18,44,25,26,23,21,32,32,39,35,21,21,30,21,16,Punjab-Guru Har Sahai,Guru Har Sahai
14,NOTA,None of the Above,32,17,24,23,22,27,23,30,31,35,46,47,36,12,20,15,Punjab-Guru Har Sahai,Guru Har Sahai
