O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,Harpreet Singh,Shiromani Akali Dal,2787,2350,2432,2366,3098,2845,3479,2370,3039,2813,2276,2002,3299,1582,Punjab-Malout,Malout
2,Devinder Singh Kotli,Communist Party of India (Marxist),26,43,29,58,31,21,41,17,30,35,26,38,38,17,Punjab-Malout,Malout
3,Dr. Baljit Kaur,Aam Aadmi Party,4792,6439,5489,5920,5645,4883,5813,5877,5538,6021,6060,5639,4853,3491,Punjab-Malout,Malout
4,Prof. Rupinder Kaur Ruby,Indian National Congress,1245,900,1214,819,1243,1419,1159,1043,1729,1549,1894,1455,1220,658,Punjab-Malout,Malout
5,Karanvir Singh,Punjab Lok Congress Party,71,57,94,106,158,58,30,87,218,86,100,53,25,19,Punjab-Malout,Malout
6,Gurmeet Singh Ranghreta,Punjab Labour Party,6,9,9,13,15,11,18,5,5,13,15,19,10,5,Punjab-Malout,Malout
7,Baldev Singh,Aazad Samaj Party (Kanshi Ram),17,18,16,16,25,21,17,20,12,14,29,22,20,9,Punjab-Malout,Malout
8,Resham Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),94,83,78,65,78,55,77,43,11,52,28,85,114,72,Punjab-Malout,Malout
9,Om Parkash Khichi,Independent,6,4,11,22,14,8,7,14,3,22,8,3,10,10,Punjab-Malout,Malout
10,Sukhwinder Kumar,Independent,17,39,43,38,250,49,23,22,7,111,49,29,7,16,Punjab-Malout,Malout
11,Harjit Singh,Independent,22,54,132,403,42,35,20,12,2,8,14,16,17,6,Punjab-Malout,Malout
12,Gurmeet Kaur,Independent,6,21,13,27,16,17,27,14,24,18,13,16,20,10,Punjab-Malout,Malout
13,Jassal Singh,Independent,18,46,28,32,43,37,26,18,13,25,17,26,23,26,Punjab-Malout,Malout
14,Balwinder Singh,Independent,54,71,46,66,69,58,61,23,23,30,18,41,36,44,Punjab-Malout,Malout
15,Bidra Ram,Independent,15,17,14,17,31,17,26,24,19,21,12,19,18,19,Punjab-Malout,Malout
16,NOTA,None of the Above,63,75,56,66,88,84,74,50,64,56,44,60,69,45,Punjab-Malout,Malout
