O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,TRIPT RAJINDER SINGH BAJWA,Indian National Congress,2734,2944,2274,3375,2998,2721,2339,2342,3183,2921,2818,3254,3035,2903,2806,3030,471,Punjab-Fatehgarh Churian,Fatehgarh Churian
2,BALBIR SINGH,Aam Aadmi Party,2022,1808,3039,1594,2805,2607,2037,2978,2583,1665,1746,2254,2127,1671,2327,1855,323,Punjab-Fatehgarh Churian,Fatehgarh Churian
3,LAKHBIR SINGH LODHINANGAL,Shiromani Akali Dal,2374,2364,2448,3112,2801,2368,2130,2810,2254,2075,2252,2985,3012,2280,2551,2516,273,Punjab-Fatehgarh Churian,Fatehgarh Churian
4,KULWANT SINGH MAJHAIL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),250,129,145,131,251,216,141,190,224,214,243,216,297,237,209,243,27,Punjab-Fatehgarh Churian,Fatehgarh Churian
5,TAJINDER SINGH,Punjab Lok Congress Party,15,12,83,14,18,15,13,20,39,9,23,30,27,27,9,24,2,Punjab-Fatehgarh Churian,Fatehgarh Churian
6,AMARBEER SINGH,Independent,17,9,6,12,11,11,9,14,23,7,9,20,19,8,9,9,2,Punjab-Fatehgarh Churian,Fatehgarh Churian
7,SAHIB SINGH,Independent,29,14,14,25,22,19,28,35,35,19,16,19,44,21,32,19,7,Punjab-Fatehgarh Churian,Fatehgarh Churian
8,BALJINDER SINGH,Independent,22,33,19,28,41,42,38,41,45,30,48,40,155,45,33,55,6,Punjab-Fatehgarh Churian,Fatehgarh Churian
9,NOTA,None of the Above,67,43,33,45,48,32,43,42,62,69,43,49,66,48,55,50,11,Punjab-Fatehgarh Churian,Fatehgarh Churian
