O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Sarup Chand Singla,Shiromani Akali Dal,1271,848,1277,1400,930,1460,1060,972,1791,1388,1578,1672,2059,1217,1150,1777,1414,642,Punjab-Bathinda Urban,Bathinda Urban
2,Jagroop Singh Gill,Aam Aadmi Party,5868,6679,5861,4600,5203,4974,5077,4914,4896,4272,4229,5339,5528,5389,5649,5800,5349,1882,Punjab-Bathinda Urban,Bathinda Urban
3,Manpreet Singh Badal,Indian National Congress,1397,1219,1445,1511,1168,1757,1357,1416,1917,2263,2187,1991,1862,1712,1662,1729,1916,681,Punjab-Bathinda Urban,Bathinda Urban
4,Raj Kumar,Bharatiya Janata Party,492,437,1168,879,662,779,1032,458,685,1646,459,384,247,456,605,642,542,1045,Punjab-Bathinda Urban,Bathinda Urban
5,Sunil Kumar,Aazad Samaj Party (Kanshi Ram),14,12,8,10,9,10,9,8,16,11,21,16,17,19,23,48,22,7,Punjab-Bathinda Urban,Bathinda Urban
6,Wazir Singh,Bahujan Mukti Party,14,6,8,5,17,15,7,8,10,2,7,10,4,12,10,10,11,1,Punjab-Bathinda Urban,Bathinda Urban
7,Harmilap Singh Grewal,Independent,18,18,6,6,39,39,26,23,9,4,14,11,13,8,6,13,12,0,Punjab-Bathinda Urban,Bathinda Urban
8,Chand Singh,Independent,8,4,2,4,5,6,10,3,2,2,4,33,21,5,8,5,3,3,Punjab-Bathinda Urban,Bathinda Urban
9,Jaswant Singh,Independent,8,2,2,4,4,1,10,4,4,2,2,5,7,3,6,9,9,1,Punjab-Bathinda Urban,Bathinda Urban
10,Parveen Hiteshi,Independent,18,10,2,9,8,7,28,4,7,2,8,16,11,8,12,14,15,2,Punjab-Bathinda Urban,Bathinda Urban
11,Raj Kumar,Independent,16,14,4,7,1,9,16,4,10,1,7,15,17,12,12,18,20,0,Punjab-Bathinda Urban,Bathinda Urban
12,Ram Kishan,Independent,25,10,11,16,4,23,12,20,10,6,23,33,19,13,16,21,28,2,Punjab-Bathinda Urban,Bathinda Urban
13,Resham Singh,Independent,42,24,17,16,7,30,32,22,17,11,22,48,31,27,23,39,43,3,Punjab-Bathinda Urban,Bathinda Urban
14,NOTA,None of the Above,74,54,49,61,42,89,94,73,59,50,66,79,78,63,58,85,74,26,Punjab-Bathinda Urban,Bathinda Urban
