O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Prem Kumar,Aam Aadmi Party,2343,1861,2888,1743,2204,1710,1425,1635,2066,1679,2230,2566,2036,1704,1768,1718,1712,1022,Punjab-Phillaur,Phillaur
2,Baldev Singh Khaira,Shiromani Akali Dal,1670,1837,2083,1770,2347,2045,1664,2002,2166,1619,2629,2174,2345,2041,2087,1926,2153,1261,Punjab-Phillaur,Phillaur
3,Mela Singh,Communist Party of India (Marxist),144,172,47,40,27,24,23,55,76,33,51,58,23,28,37,31,38,32,Punjab-Phillaur,Phillaur
4,Vikramjit Singh Chaudhary,Indian National Congress,2664,2604,2494,2695,2802,2783,2672,2390,2729,2805,3711,2419,2779,2352,2773,2751,2979,1752,Punjab-Phillaur,Phillaur
5,Surjit Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),224,171,130,287,350,180,306,206,315,353,221,78,118,192,275,325,424,197,Punjab-Phillaur,Phillaur
6,Harvinder Kaur,Samajik Sangharsh Party,36,30,29,40,53,31,41,26,45,56,71,19,56,25,36,34,49,18,Punjab-Phillaur,Phillaur
7,Goldy Nahar,Lok Insaaf Party,18,9,18,9,14,8,11,11,14,25,53,183,245,33,42,43,52,11,Punjab-Phillaur,Phillaur
8,Damanvir Singh Phillaur,Shiromani Akali Dal (Sanyukt),285,134,438,189,273,237,256,158,53,53,124,359,373,180,134,306,355,190,Punjab-Phillaur,Phillaur
9,Baldeep Kumar,Bharatrashtra Democratic Party,34,11,14,18,17,30,31,25,28,15,18,17,10,14,22,43,37,22,Punjab-Phillaur,Phillaur
10,Mulkh Raj Jakhu,Peoples Party of India (Democratic),81,20,12,16,18,18,12,7,14,10,23,20,11,13,13,6,15,16,Punjab-Phillaur,Phillaur
11,Raunki Ram,Nationalist Justice Party,14,18,17,20,29,13,14,18,13,13,14,17,13,9,33,17,16,9,Punjab-Phillaur,Phillaur
12,Advocate Ajay Kumar Phillaur,Independent,491,497,110,379,486,404,628,653,431,410,459,321,221,399,479,235,272,202,Punjab-Phillaur,Phillaur
13,Sunny Kumar,Independent,47,43,17,25,70,44,54,41,40,45,48,24,20,42,37,50,58,22,Punjab-Phillaur,Phillaur
14,Swaran Singh Momi,Independent,24,18,35,17,29,37,24,20,18,22,45,21,32,21,38,21,28,15,Punjab-Phillaur,Phillaur
15,NOTA,None of the Above,46,42,93,68,57,50,38,29,44,34,60,71,61,43,50,35,51,41,Punjab-Phillaur,Phillaur
