O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,GURPREET BASSI GOGI,Aam Aadmi Party,3642,3585,2470,1825,2740,2215,2869,2735,2521,2673,3451,2721,3437,2546,645,Punjab-Ludhiana West,Ludhiana West
2,ADVOCATE BIKRAM SINGH SIDHU,Bharatiya Janata Party,1798,2241,3016,2701,1906,2255,1969,1165,1712,1164,1285,2301,1545,2298,559,Punjab-Ludhiana West,Ludhiana West
3,BHARAT BHUSHAN ASHU,Indian National Congress,2840,2338,2231,2320,2075,2913,2130,2418,2194,2048,2424,2163,2130,2034,377,Punjab-Ludhiana West,Ludhiana West
4,MAHESHINDER SINGH GREWAL,Shiromani Akali Dal,835,845,722,274,387,471,695,1157,614,757,812,665,1073,466,148,Punjab-Ludhiana West,Ludhiana West
5,ANITA SHAH,Bahujan Mukti Party,39,18,10,13,14,10,15,13,6,17,11,7,17,16,6,Punjab-Ludhiana West,Ludhiana West
6,SARBJIT KAUR,Aas Punjab Party,12,15,5,9,6,3,17,15,13,8,12,6,8,4,0,Punjab-Ludhiana West,Ludhiana West
7,TARUN JAIN BAWA,Independent,124,148,458,498,477,432,61,175,290,156,177,254,207,286,62,Punjab-Ludhiana West,Ludhiana West
8,BALWINDER SEKHON,Independent,41,46,24,34,26,17,20,44,32,22,26,14,46,25,32,Punjab-Ludhiana West,Ludhiana West
9,NOTA,None of the Above,78,78,67,68,65,70,68,75,87,76,109,98,111,78,18,Punjab-Ludhiana West,Ludhiana West
