O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,AJAIPAL SINGH SANDHU,Indian National Congress,2302,2436,2236,2101,2617,2789,3275,3462,3086,3191,2856,2438,Punjab-Kotkapura,Kotkapura
2,KULTAR SINGH SANDHWAN,Aam Aadmi Party,3902,4422,4299,3558,5179,5199,4728,4886,4850,4479,4259,3765,Punjab-Kotkapura,Kotkapura
3,MANTAR SINGH BRAR,Shiromani Akali Dal,2801,3433,2975,2552,2015,1708,1961,1710,2142,2981,3089,2090,Punjab-Kotkapura,Kotkapura
4,KULWINDER SINGH,Lok Insaaf Party,19,18,26,14,11,12,32,17,33,21,36,21,Punjab-Kotkapura,Kotkapura
5,JASKARAN SINGH KAHAN SINGH WALA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),314,324,247,87,173,141,121,100,193,276,266,355,Punjab-Kotkapura,Kotkapura
6,JARNAIL SINGH,Nationalist Justice Party,4,7,7,14,4,12,5,14,15,6,6,62,Punjab-Kotkapura,Kotkapura
7,DARGESH KUMAR,Punjab Lok Congress Party,10,41,21,119,159,62,227,302,65,11,13,5,Punjab-Kotkapura,Kotkapura
8,SIMARJIT KAUR,Independent,7,13,9,7,3,13,2,9,6,6,6,10,Punjab-Kotkapura,Kotkapura
9,HARSIMRANJOT SINGH,Independent,32,23,33,17,20,23,16,24,24,12,19,29,Punjab-Kotkapura,Kotkapura
10,HARPAL SINGH,Independent,13,23,30,24,16,14,27,18,33,19,25,19,Punjab-Kotkapura,Kotkapura
11,KULBIR SINGH MATTA,Independent,54,61,48,138,52,68,46,43,99,42,97,70,Punjab-Kotkapura,Kotkapura
12,DHANWANT KAUR,Independent,40,34,49,29,26,25,18,21,48,33,38,35,Punjab-Kotkapura,Kotkapura
13,NOTA,None of the Above,65,93,78,83,62,76,61,78,62,90,74,65,Punjab-Kotkapura,Kotkapura
