O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,CHAUDHARY SURINDER SINGH,Indian National Congress,2201,2429,2499,2054,2077,2215,2064,1663,2216,2704,2735,2021,2871,1911,2797,2104,569,Punjab-Kartarpur,Kartarpur
2,SURINDER MAHEY,Bharatiya Janata Party,105,112,90,690,892,145,112,178,199,505,1032,362,210,114,560,127,43,Punjab-Kartarpur,Kartarpur
3,BALKAR SINGH,Aam Aadmi Party,2281,2849,2235,3095,2796,2057,2666,2882,2090,2319,2583,2820,2575,3157,2116,2051,1079,Punjab-Kartarpur,Kartarpur
4,ADVOCATE BALWINDER KUMAR,Bahujan Samaj Party,2567,1757,2164,1630,2114,2512,1861,2066,2147,2177,2104,1727,1806,1737,2166,2538,525,Punjab-Kartarpur,Kartarpur
5,HARWINDER SINGH RAHUL NIJJAR,Bahujan Samaj Party (Ambedkar),60,54,43,25,28,28,42,52,45,33,41,42,28,62,31,114,18,Punjab-Kartarpur,Kartarpur
6,K. K. SABHARWAL,Democratic Bharatiya Samaj Party,34,30,28,24,14,15,24,42,21,24,19,67,27,28,17,25,13,Punjab-Kartarpur,Kartarpur
7,JEEVAN KUMAR,Independent,37,64,31,57,40,27,51,55,34,37,42,63,44,54,36,32,27,Punjab-Kartarpur,Kartarpur
8,RAJESH KUMAR,Independent,519,350,280,149,61,660,128,220,113,97,128,116,204,147,78,201,150,Punjab-Kartarpur,Kartarpur
9,NOTA,None of the Above,74,74,61,74,85,69,59,82,37,76,72,74,98,65,71,46,19,Punjab-Kartarpur,Kartarpur
