O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,INDU BALA,Indian National Congress,1612,1468,2059,1774,1660,1636,1538,1517,1557,1470,1580,1778,1570,1869,1434,1421,1138,1598,Punjab-Mukerian,Mukerian
2,SARBJOT SINGH,Shiromani Akali Dal,2404,1683,1553,2251,1509,1530,1994,1144,1100,1671,1355,1671,1334,1354,1510,1246,1449,1946,Punjab-Mukerian,Mukerian
3,Prof. GURDHIAN SINGH MULTANI,Aam Aadmi Party,1773,2016,1981,1978,1808,1971,1741,1633,1352,1974,3303,3109,2452,2191,2971,2104,2051,1337,Punjab-Mukerian,Mukerian
4,JANGI LAL MAHAJAN,Bharatiya Janata Party,2203,2241,2613,2590,2632,2215,1947,2891,2610,1508,1593,2287,2169,2025,1945,2403,2208,2395,Punjab-Mukerian,Mukerian
5,PARMINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),148,284,74,222,181,75,310,71,101,266,86,72,120,326,340,250,174,111,Punjab-Mukerian,Mukerian
6,ASHOK KUMAR,Independent,23,26,21,22,29,70,26,7,22,35,45,44,60,27,33,21,22,22,Punjab-Mukerian,Mukerian
7,KARAMJIT SINGH,Independent,19,23,25,70,72,43,34,8,10,43,74,34,28,37,43,102,21,22,Punjab-Mukerian,Mukerian
8,GURVATAN SINGH,Independent,30,28,25,40,19,20,39,13,23,20,31,36,34,84,32,42,18,31,Punjab-Mukerian,Mukerian
9,NOTA,None of the Above,58,44,65,48,47,50,56,36,41,42,52,54,49,39,49,43,33,33,Punjab-Mukerian,Mukerian
