O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Sukhbir Singh Badal,Shiromani Akali Dal,3375,3341,3589,2908,3291,3210,2528,3788,3481,2685,3236,3337,2938,3620,3422,3802,3959,3424,Punjab-Jalalabad,Jalalabad
2,JAGDEEP KAMBOJ,Aam Aadmi Party,4202,5071,4578,4379,5153,4668,4717,4427,5472,4077,5108,5587,5496,5702,5589,5747,5561,4774,Punjab-Jalalabad,Jalalabad
3,PURAN CHAND,Bharatiya Janata Party,389,594,337,277,307,284,204,241,401,869,136,154,131,296,137,145,207,229,Punjab-Jalalabad,Jalalabad
4,Mohan Singh,Indian National Congress,211,215,228,746,776,870,366,618,641,468,206,372,428,312,394,332,992,491,Punjab-Jalalabad,Jalalabad
5,Karamjit Singh,Samajwadi Party,4,19,15,14,12,13,7,24,10,17,12,19,11,13,16,9,15,7,Punjab-Jalalabad,Jalalabad
6,Kuldeep Singh,India Praja Bandhu Party,12,11,18,16,15,17,10,10,17,54,13,17,19,22,14,23,15,9,Punjab-Jalalabad,Jalalabad
7,GURCHARAN SINGH,Jai Jawan Jai Kisan Party,9,11,15,12,4,23,12,18,85,8,11,7,6,16,2,6,6,8,Punjab-Jalalabad,Jalalabad
8,Gurmeet Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),36,44,52,23,39,12,33,238,51,41,83,88,107,105,58,55,83,95,Punjab-Jalalabad,Jalalabad
9,Ranjit Ram,Republican Party of India (A),1,5,5,3,2,3,4,3,3,1,4,2,6,6,14,9,12,15,Punjab-Jalalabad,Jalalabad
10,Angrej Singh,Independent,4,9,16,18,14,15,5,11,9,13,8,10,10,7,8,12,23,9,Punjab-Jalalabad,Jalalabad
11,Surinder Singh,Independent,24,38,396,189,57,119,177,140,96,31,82,175,23,99,43,28,61,54,Punjab-Jalalabad,Jalalabad
12,Harish Chander,Independent,3,5,9,5,6,6,7,6,11,4,4,10,4,13,11,11,11,6,Punjab-Jalalabad,Jalalabad
13,Gurpreet Singh,Independent,16,6,30,23,21,18,19,15,30,17,16,22,28,28,177,25,31,16,Punjab-Jalalabad,Jalalabad
14,Baljit Singh,Independent,6,8,18,9,11,20,8,10,13,18,12,12,23,23,20,18,21,17,Punjab-Jalalabad,Jalalabad
15,Manpreet Singh,Independent,18,14,38,37,28,27,17,28,24,16,27,38,21,42,48,44,38,41,Punjab-Jalalabad,Jalalabad
16,NOTA,None of the Above,41,53,66,28,53,34,32,35,40,41,24,47,44,68,52,56,64,45,Punjab-Jalalabad,Jalalabad
