O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,BALDEV SINGH MANUKE,Shiromani Akali Dal,1342,1420,1274,1932,1531,1601,1776,2433,2092,1863,1917,2049,2255,2385,800,Punjab-Nihal Singhwala,Nihal Singhwala
2,BHUPINDER SINGH SAHOKE,Indian National Congress,1373,1608,1776,1653,2194,1727,1559,2365,1888,2066,1849,2426,2218,1535,836,Punjab-Nihal Singhwala,Nihal Singhwala
3,MANJIT SINGH BILASPUR,Aam Aadmi Party,5633,5185,4699,4009,3918,3889,3706,3566,5016,4309,4726,4357,4543,4622,2524,Punjab-Nihal Singhwala,Nihal Singhwala
4,SUKHDEV SINGH,Lok Insaaf Party,41,25,16,24,43,24,13,22,24,18,26,19,14,16,10,Punjab-Nihal Singhwala,Nihal Singhwala
5,PARAMJIT KAUR,Democratic Bharatiya Samaj Party,29,41,32,22,31,46,37,25,38,39,48,24,30,42,23,Punjab-Nihal Singhwala,Nihal Singhwala
6,PARMINDER SINGH,Krishak Bharti Party,11,14,16,13,20,68,31,17,23,14,12,8,16,17,17,Punjab-Nihal Singhwala,Nihal Singhwala
7,BALDEV SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),770,1382,1346,812,1163,1290,1642,912,911,669,767,365,765,1152,664,Punjab-Nihal Singhwala,Nihal Singhwala
8,MUKHTIAR SINGH SANDHU S.P.,Punjab Lok Congress Party,42,62,97,103,86,44,62,120,56,24,58,256,24,82,21,Punjab-Nihal Singhwala,Nihal Singhwala
9,AJAIB SINGH,Independent,18,11,18,11,21,16,11,19,14,19,11,9,9,17,7,Punjab-Nihal Singhwala,Nihal Singhwala
10,GURDEEP SINGH,Independent,39,33,33,31,42,48,39,29,42,38,36,21,17,61,37,Punjab-Nihal Singhwala,Nihal Singhwala
11,GURADITTA SINGH,Independent,140,116,148,193,164,156,654,287,203,533,357,165,123,246,37,Punjab-Nihal Singhwala,Nihal Singhwala
12,NOTA,None of the Above,63,60,78,62,67,69,80,80,82,68,66,53,71,77,26,Punjab-Nihal Singhwala,Nihal Singhwala
