O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,IQBAL SINGH LALPURA,Bharatiya Janata Party,674,558,862,810,251,363,533,299,503,504,888,1197,1339,482,274,407,58,Punjab-Rupnagar,Rupnagar
2,Dr. DALJIT SINGH CHEEMA,Shiromani Akali Dal,1769,1538,1375,1718,1157,1729,1320,1536,1052,1220,1202,1183,780,1394,1618,1359,320,Punjab-Rupnagar,Rupnagar
3,DINESH KUMAR CHADHA,Aam Aadmi Party,3513,3724,3639,3230,3767,2966,3832,3123,4458,4804,3767,4014,3209,4099,3535,3217,676,Punjab-Rupnagar,Rupnagar
4,BRINDER SINGH DHILLON,Indian National Congress,2390,2648,2144,2489,2073,2164,2136,2183,1550,2094,1986,2187,2316,2458,2342,2443,581,Punjab-Rupnagar,Rupnagar
5,PARAMJEET SINGH MUKARI,Punjab Kisan Dal,31,44,46,36,33,19,22,36,28,26,25,21,33,40,29,35,12,Punjab-Rupnagar,Rupnagar
6,SUBEDAR AVTAR SINGH,Independent,110,155,153,74,207,173,122,277,177,328,116,127,111,224,378,552,51,Punjab-Rupnagar,Rupnagar
7,DEVINDER SINGH BAJWA,Independent,58,67,93,76,60,93,119,44,62,77,113,83,59,126,153,501,132,Punjab-Rupnagar,Rupnagar
8,BACHITAR SINGH,Independent,23,29,28,43,25,19,16,22,94,91,36,28,24,31,62,163,5,Punjab-Rupnagar,Rupnagar
9,NOTA,None of the Above,31,28,34,38,32,38,44,24,29,43,47,61,54,70,41,52,15,Punjab-Rupnagar,Rupnagar
