O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,GURMEET SINGH KHUDIAN,Aam Aadmi Party,4631,5357,4690,5298,4454,5624,6147,5814,4798,5045,5588,4937,3334,Punjab-Lambi,Lambi
2,JAGPAL SINGH ABULKHURANA,Indian National Congress,855,477,1322,1031,859,1113,904,442,470,754,597,702,526,Punjab-Lambi,Lambi
3,PARKASH SINGH BADAL,Shiromani Akali Dal,3215,3670,3408,4098,4829,3825,4168,5169,4957,5041,4522,4382,3076,Punjab-Lambi,Lambi
4,RAKESH DHINGRA,Bharatiya Janata Party,125,87,58,56,107,50,72,102,76,178,90,51,51,Punjab-Lambi,Lambi
5,JASWINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),210,139,109,84,153,117,63,136,75,54,36,110,29,Punjab-Lambi,Lambi
6,GURTEJ SINGH,Independent,29,35,25,29,36,34,19,36,29,32,37,27,24,Punjab-Lambi,Lambi
7,CHARANJIT SINGH,Independent,18,22,25,35,18,26,19,23,18,12,30,22,9,Punjab-Lambi,Lambi
8,NOTA,None of the Above,75,111,83,140,79,80,74,122,96,83,121,94,63,Punjab-Lambi,Lambi
