O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,JAGTAR SINGH DIYALPURA,Aam Aadmi Party,2264,2669,3789,3880,3531,4006,4347,3745,4100,4121,4170,3968,4186,3475,2971,1904,Punjab-Samrala,Samrala
2,PARAMJIT SINGH DHILLON,Shiromani Akali Dal,2250,1969,1705,1444,1710,1957,1772,1313,1698,1498,2045,1464,1510,1842,1357,1003,Punjab-Samrala,Samrala
3,RANJIT SINGH GAHLEWAL,Bharatiya Janata Party,64,94,419,292,73,283,194,45,67,75,67,168,239,84,125,23,Punjab-Samrala,Samrala
4,RUPINDER SINGH RAJA GILL,Indian National Congress,1887,1970,1927,2099,1033,927,1328,1247,1588,1886,1458,1152,1171,1197,1711,695,Punjab-Samrala,Samrala
5,Dr. SOHAN LAL BLAGGAN,Samajwadi Party,17,8,38,23,24,38,25,11,13,14,22,22,21,21,5,4,Punjab-Samrala,Samrala
6,MAJOR SINGH,Bharatiya Jan Jagriti Party,12,10,9,16,6,5,6,9,15,6,11,11,28,11,17,10,Punjab-Samrala,Samrala
7,RAJINDER SHARMA,Apna Sangharsh Kisani Ekta Party,7,8,7,16,11,14,19,17,18,6,15,11,14,8,9,2,Punjab-Samrala,Samrala
8,VARINDER SINGH SEKHON,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),304,599,304,540,651,225,531,507,705,402,734,700,716,571,419,402,Punjab-Samrala,Samrala
9,AMRIK SINGH DHILLON,Independent,360,243,350,228,800,1073,776,585,809,369,463,401,450,445,198,105,Punjab-Samrala,Samrala
10,AVNEET SINGH BAGLI KALAN,Independent,7,6,10,15,5,12,6,17,13,18,9,12,15,13,6,7,Punjab-Samrala,Samrala
11,SANDEEP SINGH,Independent,13,15,28,29,16,15,23,25,26,27,28,21,31,26,13,16,Punjab-Samrala,Samrala
12,KAMALJIT KAUR,Independent,37,36,37,26,6,12,16,15,14,17,22,11,13,23,19,56,Punjab-Samrala,Samrala
13,BALBIR SINGH RAJEWAL,Independent,268,445,240,280,157,200,254,181,194,190,198,476,377,576,375,215,Punjab-Samrala,Samrala
14,LABH SINGH,Independent,38,30,28,36,11,23,15,12,18,12,34,22,28,43,31,23,Punjab-Samrala,Samrala
15,NOTA,None of the Above,44,54,82,88,29,78,66,55,67,58,55,47,75,52,49,38,Punjab-Samrala,Samrala
