O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,KRISHAN SINGH CHOUHAN,Communist Party of India,89,130,163,120,106,95,235,76,76,113,282,227,105,157,101,35,Punjab-Budhlada,Budhlada
2,Dr. NISHAN SINGH HAKAMWALA,Shiromani Akali Dal,1861,2946,1843,2499,1772,1971,2166,2680,2973,2295,2029,2764,2527,2184,2566,1208,Punjab-Budhlada,Budhlada
3,BUDH RAM,Aam Aadmi Party,6711,7270,5662,5373,5562,5838,6422,5051,5469,5098,5500,4933,4759,5411,5480,2928,Punjab-Budhlada,Budhlada
4,Dr. RANVIR KAUR MIAN,Indian National Congress,786,1321,951,1749,1727,1747,1362,1415,1349,1701,1427,1639,1172,1509,874,646,Punjab-Budhlada,Budhlada
5,BHOLA SINGH,Punjab Lok Congress Party,28,49,456,104,334,195,65,123,117,64,54,80,64,76,58,26,Punjab-Budhlada,Budhlada
6,RANJIT SINGH BHADRA,Lok Insaaf Party,40,26,16,9,14,17,13,10,19,23,9,20,9,16,14,5,Punjab-Budhlada,Budhlada
7,RAM PARTAP SINGH @ NIKKA BAHADURPUR,Communist Party of India (Marxist-Leninist) (Liberation),122,31,42,28,17,73,123,91,43,65,29,43,105,75,19,14,Punjab-Budhlada,Budhlada
8,DARSHAN SINGH,Independent,40,56,43,17,29,44,54,43,51,52,48,36,37,48,49,24,Punjab-Budhlada,Budhlada
9,PARAMJEET KAUR,Independent,576,394,466,135,174,259,775,359,248,659,570,430,337,356,693,197,Punjab-Budhlada,Budhlada
10,RANGI RAM,Independent,36,58,31,33,12,23,36,30,40,45,31,39,42,40,34,35,Punjab-Budhlada,Budhlada
11,NOTA,None of the Above,57,72,51,69,95,63,78,56,37,49,61,58,37,62,54,27,Punjab-Budhlada,Budhlada
