O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,state_city,constituency_from_link
1,Inderjit Kaur Mann,Aam Aadmi Party,1464,1896,2046,2140,2087,3450,3522,2475,2248,2569,2396,2166,2370,2339,2954,2060,2029,2354,124,Punjab-Nakodar,Nakodar
2,Gurpartap Singh Wadala,Shiromani Akali Dal,2289,2093,2386,1893,2848,2247,2495,2171,1881,2380,2184,1750,2569,2360,2129,1975,1974,2072,179,Punjab-Nakodar,Nakodar
3,Dr. Navjot Singh Dahiya,Indian National Congress,2129,2192,1745,1907,2455,1813,1856,2062,2007,2124,1754,1970,2377,2139,2030,1890,1529,1825,202,Punjab-Nakodar,Nakodar
4,Parshotam Lal Bilga,Communist Party of India (Marxist),24,32,22,22,26,33,36,21,41,54,41,32,64,53,64,64,133,58,1,Punjab-Nakodar,Nakodar
5,Shammi Kumar,Punjab Lok Congress Party,58,71,17,27,22,525,460,75,27,39,26,28,182,298,32,53,67,22,0,Punjab-Nakodar,Nakodar
6,Harpreet Singh Gill,Bahujan Samaj Party (Ambedkar),23,119,228,30,23,26,30,82,79,42,19,25,21,15,29,28,22,26,1,Punjab-Nakodar,Nakodar
7,Davinder Singh Sangowal,Lok Insaaf Party,16,15,24,11,12,7,9,15,35,18,19,18,34,23,28,11,112,74,0,Punjab-Nakodar,Nakodar
8,Subedar Major Singh Bhangala,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),297,295,246,405,259,116,97,149,214,325,204,250,200,180,204,180,234,192,24,Punjab-Nakodar,Nakodar
9,Raj Kumar,Democratic Bharatiya Samaj Party,15,16,18,11,17,12,12,42,7,10,7,10,19,23,22,9,18,19,1,Punjab-Nakodar,Nakodar
10,Dr. Balwinder Singh Hayer,Independent,34,47,45,33,45,23,24,37,36,38,28,38,34,31,37,30,17,37,0,Punjab-Nakodar,Nakodar
11,Mandeep Singh Samra,Independent,318,129,92,165,260,61,87,480,432,399,236,211,435,239,429,345,209,395,14,Punjab-Nakodar,Nakodar
12,NOTA,None of the Above,42,52,50,56,66,84,65,61,69,55,71,41,50,64,76,58,45,74,1,Punjab-Nakodar,Nakodar
