O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Harchand Kaur,Indian National Congress,1314,1598,1720,1750,1126,1218,1059,2191,1054,1726,1047,1069,592,Punjab-Mehal Kalan,Mehal Kalan
2,Kulwant Singh Pandori,Aam Aadmi Party,3714,4521,4527,3691,3966,4122,4198,3717,4175,4415,4336,4369,3515,Punjab-Mehal Kalan,Mehal Kalan
3,Chamkaur Singh,Bahujan Samaj Party,423,532,867,1481,1074,642,650,643,691,993,898,766,671,Punjab-Mehal Kalan,Mehal Kalan
4,Sant Sukhwinder Singh Tibba,Shiromani Akali Dal (Sanyukt),494,296,260,212,205,114,216,101,132,143,507,319,118,Punjab-Mehal Kalan,Mehal Kalan
5,Harbans Singh,Samajwadi Party,28,16,20,26,16,19,20,20,31,29,12,130,25,Punjab-Mehal Kalan,Mehal Kalan
6,Gurjant Singh Kattu,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2068,2340,1497,1825,1402,1788,2037,2081,2274,1833,1640,1419,1131,Punjab-Mehal Kalan,Mehal Kalan
7,Gurpreet Singh Rureke,Communist Party of India (Marxist-Leninist) (Liberation),30,44,50,118,25,93,123,45,40,36,17,37,22,Punjab-Mehal Kalan,Mehal Kalan
8,Gurmel Singh,National Apni Party,24,30,22,19,11,22,14,18,25,15,31,20,15,Punjab-Mehal Kalan,Mehal Kalan
9,Teja Singh Kalabula,Apni Ekta Party,27,26,45,28,49,35,32,30,26,24,69,54,30,Punjab-Mehal Kalan,Mehal Kalan
10,Supinder Singh,Independent,25,36,41,41,36,46,47,32,48,39,38,39,45,Punjab-Mehal Kalan,Mehal Kalan
11,Gurtej Singh,Independent,52,77,49,65,67,96,63,54,80,52,60,69,44,Punjab-Mehal Kalan,Mehal Kalan
12,Jasveer Singh,Independent,155,229,178,156,515,324,119,175,135,177,182,895,74,Punjab-Mehal Kalan,Mehal Kalan
13,NOTA,None of the Above,44,59,71,80,85,60,48,66,52,69,66,70,27,Punjab-Mehal Kalan,Mehal Kalan
