O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,ASHU BANGER,Indian National Congress,920,1090,1022,1174,997,982,1126,1116,917,1557,1524,1533,1042,1339,1364,1536,961,158,Punjab-Firozpur Rural,Firozpur Rural
2,JOGINDER SINGH JINDU,Shiromani Akali Dal,2922,2661,3048,2712,2448,2462,2031,2908,2650,2824,2995,3562,2831,2609,2688,2693,2725,665,Punjab-Firozpur Rural,Firozpur Rural
3,RAJNEESH KUMAR DAHIYA,Aam Aadmi Party,6561,4956,4046,4982,4167,5459,5045,4215,3289,3466,3557,4188,4397,4170,3691,3740,3951,1011,Punjab-Firozpur Rural,Firozpur Rural
4,SURJEET SINGH,Insaniyat Lok Vikas Party,20,15,12,14,18,21,12,24,10,19,15,9,17,11,11,14,20,2,Punjab-Firozpur Rural,Firozpur Rural
5,SURESH KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),16,75,30,10,13,30,11,12,10,7,6,53,21,16,7,3,2,2,Punjab-Firozpur Rural,Firozpur Rural
6,JASWINDER SINGH,Punjab Lok Congress Party,47,29,78,40,161,121,76,21,11,22,15,31,22,23,42,22,10,0,Punjab-Firozpur Rural,Firozpur Rural
7,NASEEB KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),127,112,153,277,230,102,124,161,203,184,198,245,164,189,232,139,256,90,Punjab-Firozpur Rural,Firozpur Rural
8,BAGEECHA SINGH DHALIWAL,Republican Party of India Ektavadi,26,5,4,13,6,2,7,3,6,6,5,5,2,8,8,4,5,1,Punjab-Firozpur Rural,Firozpur Rural
9,RAJ KUMAR,Aas Punjab Party,4,3,4,5,6,7,7,8,9,3,2,4,2,4,5,4,2,1,Punjab-Firozpur Rural,Firozpur Rural
10,LOVEPREET KAUR,Jan Asra Party,13,6,16,15,7,15,18,51,120,8,55,12,32,3,9,79,58,3,Punjab-Firozpur Rural,Firozpur Rural
11,JOGINDER,Independent,24,32,16,30,29,39,42,18,21,14,20,19,16,14,10,13,12,6,Punjab-Firozpur Rural,Firozpur Rural
12,THOMES,Independent,19,6,12,14,14,16,24,13,9,18,20,10,7,13,8,10,14,5,Punjab-Firozpur Rural,Firozpur Rural
13,BALDEV SINGH,Independent,40,30,15,29,39,34,37,28,19,23,29,21,18,20,19,26,8,4,Punjab-Firozpur Rural,Firozpur Rural
14,MORDA SINGH,Independent,83,77,80,90,58,120,68,130,114,194,86,87,56,95,213,78,102,12,Punjab-Firozpur Rural,Firozpur Rural
15,NOTA,None of the Above,34,35,23,43,27,42,31,36,24,31,50,55,18,45,36,26,27,8,Punjab-Firozpur Rural,Firozpur Rural
