O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,Shubhdeep Singh Sidhu Moose Wala,Indian National Congress,2393,2500,1900,1747,2251,2795,2064,2252,2702,2893,2983,1692,2303,2257,1782,1963,Punjab-Mansa,Mansa
2,Prem Kumar Arora,Shiromani Akali Dal,1687,2124,1996,1383,1922,2047,2176,1438,1020,1350,1562,1824,1888,1516,1960,1098,Punjab-Mansa,Mansa
3,Dr.Vijay Singla,Aam Aadmi Party,6800,6872,7465,6811,6405,6287,5587,7229,6037,5454,5454,6528,5365,4985,6741,5180,Punjab-Mansa,Mansa
4,Shivcharan Dass,Communist Party of India (Marxist-Leninist) Red Star,51,43,54,44,47,30,31,42,33,38,37,50,33,33,42,26,Punjab-Mansa,Mansa
5,Jiwan Dass Bawa,Punjab Lok Congress Party,20,71,67,28,86,87,145,186,374,201,30,34,156,166,35,31,Punjab-Mansa,Mansa
6,Tarunveer Singh Ahluwalia,Lok Insaaf Party,5,11,13,15,10,15,8,5,9,16,6,8,5,4,7,5,Punjab-Mansa,Mansa
7,Vaid Balwant Singh,Akhil Bharatiya Rajarya Sabha,57,54,56,46,35,46,35,20,34,29,41,67,42,51,42,19,Punjab-Mansa,Mansa
8,Rajinder Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),448,473,374,355,366,131,83,60,44,53,269,477,193,152,483,113,Punjab-Mansa,Mansa
9,Sukhwinder Singh,Independent,20,21,23,27,20,13,32,20,15,29,33,28,22,23,19,23,Punjab-Mansa,Mansa
10,Gurnam Singh,Independent,54,42,51,43,47,36,26,23,17,25,39,42,35,42,43,35,Punjab-Mansa,Mansa
11,Raj Kumar,Independent,33,38,33,30,19,48,37,29,26,23,32,34,30,26,30,29,Punjab-Mansa,Mansa
12,NOTA,None of the Above,71,78,65,66,58,100,76,49,50,67,74,64,62,86,64,59,Punjab-Mansa,Mansa
