O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,ASHWANI SEKHRI,Indian National Congress,2144,1780,1668,2392,2353,2336,1976,2493,1932,1796,1076,1224,1694,1339,792,Punjab-Batala,Batala
2,AMANSHER SINGH (SHERY KALSI),Aam Aadmi Party,4797,3877,4459,4393,3207,2943,3989,3761,4287,3726,3055,3712,3420,4040,1508,Punjab-Batala,Batala
3,SUCHA SINGH CHHOTEPUR,Shiromani Akali Dal,1413,1403,1264,1418,762,595,718,943,1558,2943,2185,2682,1885,2589,733,Punjab-Batala,Batala
4,HANSA SINGH,Communist Party of India (Marxist),14,23,22,21,13,14,17,20,70,20,22,32,22,15,6,Punjab-Batala,Batala
5,FATEHJANG SINGH BAJWA,Bharatiya Janata Party,489,1134,767,695,2684,2473,1789,1774,540,342,208,189,288,354,83,Punjab-Batala,Batala
6,SUKHCHAIN SINGH,Punjab Kisan Dal,39,24,19,20,17,20,16,30,34,99,33,51,47,55,14,Punjab-Batala,Batala
7,GURBACHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),204,168,124,133,50,72,95,159,240,664,385,382,409,398,161,Punjab-Batala,Batala
8,MANJIT SINGH,Nationalist Justice Party,14,11,8,8,1,2,4,15,9,27,9,15,21,8,4,Punjab-Batala,Batala
9,VIJAY KUMAR TREHAN,Lok Insaaf Party,17,16,20,24,20,23,43,40,38,15,5,8,5,8,4,Punjab-Batala,Batala
10,ASHWANI KUMAR,Independent,12,9,8,10,6,9,2,14,12,2,4,6,4,9,0,Punjab-Batala,Batala
11,SANJEEV KUMAR,Independent,7,14,5,9,4,8,9,22,18,23,15,14,16,8,6,Punjab-Batala,Batala
12,SUCHA SINGH,Independent,14,19,10,23,9,3,5,22,15,31,21,35,31,40,12,Punjab-Batala,Batala
13,BALWINDER SINGH,Independent,88,80,60,78,29,29,50,50,65,133,167,171,183,325,49,Punjab-Batala,Batala
14,NOTA,None of the Above,53,40,43,43,52,38,37,51,57,56,33,41,48,41,20,Punjab-Batala,Batala
