O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,ASHWANI KUMAR SHARMA,Bharatiya Janata Party,3596,3738,4039,3581,2911,3978,3766,3823,3516,3216,3618,3005,Punjab-Pathankot,Pathankot
2,AMIT VIJ,Indian National Congress,3724,2960,3464,2274,2597,3276,2719,2471,3632,3060,2186,2796,Punjab-Pathankot,Pathankot
3,SATYA DEV SAINI,Communist Party of India,80,58,61,43,62,75,44,70,84,86,60,99,Punjab-Pathankot,Pathankot
4,ADVOCATE JYOTI PAL BHIM,Bahujan Samaj Party,126,61,45,64,168,86,47,107,141,119,43,58,Punjab-Pathankot,Pathankot
5,VIBHUTI SHARMA,Aam Aadmi Party,2755,1912,2084,3004,3202,3004,2813,2710,2870,2745,1714,2336,Punjab-Pathankot,Pathankot
6,KARTAR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),47,22,35,47,28,79,58,129,114,207,26,154,Punjab-Pathankot,Pathankot
7,NOTA,None of the Above,64,51,52,65,37,51,59,65,63,60,32,65,Punjab-Pathankot,Pathankot
