O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,Sucha Ram Ladhar,Bharatiya Janata Party,170,222,101,67,112,96,142,65,98,74,151,356,576,1299,913,1259,977,1246,1840,1578,1147,262,Punjab-Gill,Gill
2,Kuldeep Singh Vaid (Bulara),Indian National Congress,1629,1516,1349,1408,1768,1569,1484,1837,2158,1592,1452,1044,1337,947,960,1272,1290,1322,1315,1607,2511,2281,Punjab-Gill,Gill
3,Jiwan Singh Sangowal,Aam Aadmi Party,3712,3276,4192,4485,4854,4637,5068,4745,4115,4365,4073,4776,4693,4040,4796,4273,4215,4199,4089,3997,2915,2658,Punjab-Gill,Gill
4,Darshan Singh Shivalik,Shiromani Akali Dal,1820,2365,1515,1407,1199,2016,1417,1318,1532,1698,1875,1221,1426,989,1426,1231,1318,1394,1475,1846,1928,2469,Punjab-Gill,Gill
5,Balbir Singh Alamgir,Communist Party of India (Marxist),23,27,20,9,10,27,13,10,17,6,9,29,14,11,7,12,8,14,11,18,19,20,Punjab-Gill,Gill
6,Gagandeep Alias Sunny Kainth,Lok Insaaf Party,257,132,192,259,216,85,187,135,139,76,161,294,245,203,251,459,119,28,51,147,69,117,Punjab-Gill,Gill
7,Jaswinder Singh,Bahujan Mukti Party,8,18,23,23,15,26,24,12,15,15,25,36,28,21,17,24,27,43,30,36,14,13,Punjab-Gill,Gill
8,Darshan Singh,Aam Lok Party United,9,15,12,10,14,7,19,11,11,5,8,14,11,37,7,9,13,12,5,13,15,9,Punjab-Gill,Gill
9,Dr. Brijesh Bangar,Peoples Party of India (Democratic),22,24,18,16,7,16,15,19,15,9,13,19,13,20,9,10,17,20,13,30,29,17,Punjab-Gill,Gill
10,Rajinder Singh Singhpura,Independent,49,40,48,48,38,33,47,45,42,50,33,24,24,33,31,33,33,33,19,33,33,35,Punjab-Gill,Gill
11,Rajeev Kumar Lovely,Independent,127,108,102,118,115,215,138,167,111,152,63,84,49,43,39,51,41,39,34,45,100,62,Punjab-Gill,Gill
12,NOTA,None of the Above,64,88,76,60,77,82,82,52,78,55,85,94,91,75,69,79,95,97,79,68,84,51,Punjab-Gill,Gill
