O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,KULWANT SINGH KEETU,Shiromani Akali Dal,2328,1985,2121,1271,2213,1181,1449,1132,1262,2018,2043,1840,1480,2317,2003,347,Punjab-Barnala,Barnala
2,GURMEET SINGH MEET HAYER,Aam Aadmi Party,4416,4755,3529,3286,3522,3392,4750,3760,4298,3634,5130,5218,3666,4468,5456,811,Punjab-Barnala,Barnala
3,DHIRAJ KUMAR,Bharatiya Janata Party,94,108,513,1340,663,1795,497,1418,1089,200,485,260,356,101,103,19,Punjab-Barnala,Barnala
4,MANISH BANSAL,Indian National Congress,1079,747,909,1241,1057,1188,1356,1361,1300,865,1397,1104,877,889,1197,183,Punjab-Barnala,Barnala
5,Karamjit Singh,Lok Insaaf Party,15,17,18,10,10,5,8,14,11,19,34,15,8,9,19,4,Punjab-Barnala,Barnala
6,GURPREET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1015,1219,351,199,340,158,355,159,248,1311,632,736,414,1417,1255,81,Punjab-Barnala,Barnala
7,GURBAJ SINGH,Bahujan Mukti Party,27,15,17,15,8,6,26,70,17,20,17,18,17,14,9,2,Punjab-Barnala,Barnala
8,JAGRAJ SINGH,National Apni Party,29,22,18,15,15,11,16,7,18,27,29,19,17,27,26,3,Punjab-Barnala,Barnala
9,RAJ KUMAR,Revolutionary Socialist Party,25,13,11,7,9,14,12,10,5,17,24,13,13,14,22,2,Punjab-Barnala,Barnala
10,ABHIKARAN SINGH,Independent,25,23,18,12,17,18,38,33,5,21,18,21,9,29,20,6,Punjab-Barnala,Barnala
11,SUKHWINDER SINGH,Independent,16,15,13,4,9,2,9,5,5,24,24,17,17,16,24,43,Punjab-Barnala,Barnala
12,HARPREET SINGH,Independent,19,13,12,11,9,9,13,11,14,23,30,18,10,22,16,8,Punjab-Barnala,Barnala
13,PAPPU KUMAR,Independent,15,24,13,9,15,6,27,13,20,11,29,37,16,22,28,4,Punjab-Barnala,Barnala
14,BALJIT SINGH BADBAR,Independent,42,43,18,16,21,10,31,16,25,25,46,53,39,45,242,15,Punjab-Barnala,Barnala
15,NOTA,None of the Above,54,58,55,42,64,59,56,46,55,51,62,70,61,55,51,9,Punjab-Barnala,Barnala
