O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Ashok Parashar (Pappi),Aam Aadmi Party,1640,2532,2831,2456,3357,2289,2378,2181,3153,2895,3038,2479,1478,Punjab-Ludhiana Central,Ludhiana Central
2,Surinder Kumar Dawar,Indian National Congress,2185,2463,2584,1469,2663,1861,1962,1889,2027,1925,2217,2296,1368,Punjab-Ludhiana Central,Ludhiana Central
3,Gurdev Sharma Debi,Bharatiya Janata Party,2557,2157,2361,1694,1548,1952,1670,2340,1610,2578,2146,2457,2866,Punjab-Ludhiana Central,Ludhiana Central
4,Pritpal Singh Pali,Shiromani Akali Dal,263,536,479,695,1147,784,522,1404,660,525,585,433,174,Punjab-Ludhiana Central,Ludhiana Central
5,Harjinder Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),37,29,60,72,169,112,99,183,142,97,152,99,30,Punjab-Ludhiana Central,Ludhiana Central
6,Jagtar Singh,Samajwadi Party,2,3,6,6,11,7,4,16,21,9,11,4,1,Punjab-Ludhiana Central,Ludhiana Central
7,Darshan Singh,Insaniyat Lok Vikas Party,6,6,5,8,11,10,5,11,9,8,4,3,2,Punjab-Ludhiana Central,Ludhiana Central
8,Adv.Raminder Pal singh,Peoples Party of India (Democratic),2,6,5,8,3,3,8,15,20,13,8,9,5,Punjab-Ludhiana Central,Ludhiana Central
9,Jatinder Pal Singh,Independent,6,10,12,15,45,15,8,12,17,19,21,11,3,Punjab-Ludhiana Central,Ludhiana Central
10,NOTA,None of the Above,42,48,50,56,49,40,45,61,67,50,52,46,45,Punjab-Ludhiana Central,Ludhiana Central
