O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,HAKAM SINGH THEKEDAR,Aam Aadmi Party,4903,4497,4640,4746,4910,4783,5680,5506,4377,4044,4284,4286,4763,1884,Punjab-Raikot,Raikot
2,KAMIL AMAR SINGH,Indian National Congress,2237,2696,2556,2684,2197,2282,2971,2327,2157,3080,3317,3708,2560,1123,Punjab-Raikot,Raikot
3,BALWINDER SINGH SANDHU,Bahujan Samaj Party,307,474,472,339,627,687,921,698,1450,561,449,495,511,360,Punjab-Raikot,Raikot
4,HARGOBIND SINGH,Punjab Kisan Dal,21,18,24,16,25,12,17,27,64,16,14,18,28,10,Punjab-Raikot,Raikot
5,GURPAL SINGH GOLDY,Shiromani Akali Dal (Sanyukt),64,170,110,69,91,68,66,32,25,113,180,212,61,6,Punjab-Raikot,Raikot
6,BALDEV SINGH,Aam Lok Party United,8,8,5,15,5,15,6,7,14,7,5,6,13,0,Punjab-Raikot,Raikot
7,BALVIR SINGH,Bahujan Mukti Party,30,75,16,9,11,9,10,12,9,9,7,11,18,5,Punjab-Raikot,Raikot
8,RAJPAL SINGH,Samajik Sangharsh Party,46,34,31,19,33,17,31,28,23,18,15,23,41,16,Punjab-Raikot,Raikot
9,Dr. JAGTAR SINGH,Independent,119,88,88,81,79,84,114,113,128,142,76,171,189,35,Punjab-Raikot,Raikot
10,BALDEV SINGH ( DEV SARABHA ),Independent,32,30,43,30,33,25,37,46,56,35,37,29,33,14,Punjab-Raikot,Raikot
11,NOTA,None of the Above,87,73,96,75,107,95,119,114,80,68,89,70,108,36,Punjab-Raikot,Raikot
