O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ISHWARJOT SINGH CHEEMA,Indian National Congress,1490,1975,835,806,978,1007,1084,1501,1244,1124,1222,1490,818,Punjab-Ludhiana South,Ludhiana South
2,SATINDERPAL SINGH TAJPURI,Bharatiya Janata Party,1695,1287,2926,2628,1586,886,740,1181,2465,599,569,637,458,Punjab-Ludhiana South,Ludhiana South
3,JATHEDAR HIRA SINGH GABRIA,Shiromani Akali Dal,920,956,676,721,816,943,1040,903,846,1177,1134,510,574,Punjab-Ludhiana South,Ludhiana South
4,RAJINDER PAL KAUR,Aam Aadmi Party,1910,2721,2054,2513,3257,4244,4558,3715,3201,4904,4102,4058,2460,Punjab-Ludhiana South,Ludhiana South
5,SUNDAR LAL,Samajwadi Party,57,29,41,37,23,16,25,20,61,15,15,10,12,Punjab-Ludhiana South,Ludhiana South
6,SUMIT KUMAR,Right to Recall Party,5,4,14,10,5,6,8,4,6,3,9,8,3,Punjab-Ludhiana South,Ludhiana South
7,CHAIL SINGH DHIMAN,Insaniyat Lok Vikas Party,4,14,14,7,12,8,10,8,10,9,7,24,5,Punjab-Ludhiana South,Ludhiana South
8,DARSHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),65,190,50,50,122,220,240,167,97,221,176,239,103,Punjab-Ludhiana South,Ludhiana South
9,DR. DEVINDER SINGH GILL,Aam Lok Party United,8,6,7,10,14,9,11,16,18,8,12,6,1,Punjab-Ludhiana South,Ludhiana South
10,PARAMJIT SINGH,Nationalist Justice Party,5,7,7,9,6,15,8,9,12,4,11,8,2,Punjab-Ludhiana South,Ludhiana South
11,BALJIT SINGH,Peoples Party of India (Democratic),14,8,10,18,20,14,15,23,13,12,8,10,8,Punjab-Ludhiana South,Ludhiana South
12,BALVINDER SINGH BAINS,Lok Insaaf Party,253,570,431,408,1055,1143,1300,840,970,853,1068,2004,977,Punjab-Ludhiana South,Ludhiana South
13,AVTAR SINGH,Independent,15,14,10,17,22,23,22,26,29,22,27,20,5,Punjab-Ludhiana South,Ludhiana South
14,SANJAY KUMAR,Independent,27,13,12,16,19,14,17,21,25,13,23,7,3,Punjab-Ludhiana South,Ludhiana South
15,SURINDER SHARMA,Independent,49,17,28,145,130,177,20,28,59,4,16,4,6,Punjab-Ludhiana South,Ludhiana South
16,JASVIR SINGH JASSI,Independent,34,42,50,27,23,27,25,61,42,21,26,17,8,Punjab-Ludhiana South,Ludhiana South
17,RAJ KUMAR SATHI,Independent,15,15,17,13,8,14,21,20,27,9,7,7,5,Punjab-Ludhiana South,Ludhiana South
18,NOTA,None of the Above,34,32,41,41,50,40,45,30,53,56,34,52,28,Punjab-Ludhiana South,Ludhiana South
