O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,ARUNA CHAUDHARY,Indian National Congress,2434,2910,3309,2867,2759,2755,3852,3491,3361,3381,2759,2874,2295,3128,3993,3291,924,164,Punjab-Dina Nagar,Dina Nagar
2,SHAMSHER SINGH,Aam Aadmi Party,2443,3105,2923,4009,3210,3400,3872,3304,3057,3597,3056,2981,2265,2393,2785,1713,852,205,Punjab-Dina Nagar,Dina Nagar
3,KAMALJEET CHAWLA,Bahujan Samaj Party,890,1145,1123,1036,1069,625,633,260,469,1154,1151,1560,1959,821,973,482,61,19,Punjab-Dina Nagar,Dina Nagar
4,RENU KASHYAP,Bharatiya Janata Party,1569,731,1222,637,872,658,1059,1941,1483,582,521,980,803,1423,1198,2910,1383,228,Punjab-Dina Nagar,Dina Nagar
5,KULWANT SINGH,Independent,101,154,107,114,135,166,72,43,40,113,96,96,59,98,55,64,18,4,Punjab-Dina Nagar,Dina Nagar
6,NOTA,None of the Above,59,60,73,54,45,42,64,54,61,59,64,63,33,59,49,57,22,1,Punjab-Dina Nagar,Dina Nagar
