O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,SATINDERJIT SINGH CHHAJJALWADDI,Shiromani Akali Dal,1419,1797,1425,1925,2397,1791,1911,2253,1420,1678,1319,1894,1479,1336,1706,476,Punjab-Jandiala,Jandiala
2,"SUKHWINDER SINGH ""DANNY"" BANDALA",Indian National Congress,1742,2059,2240,2533,2198,2328,1926,2399,2204,2064,2280,2919,2028,1809,2657,860,Punjab-Jandiala,Jandiala
3,HARBHAJAN SINGH E.T.O.,Aam Aadmi Party,4932,3243,3549,3333,2402,3930,3379,2536,4814,4870,4622,3497,4639,4353,3583,1619,Punjab-Jandiala,Jandiala
4,HARDEEP SINGH,Bahujan Samaj Party (Ambedkar),114,29,25,29,27,25,30,20,38,42,51,29,30,25,43,13,Punjab-Jandiala,Jandiala
5,GAGANDEEP SINGH A.R.,Punjab Lok Congress Party,12,13,15,17,8,28,15,16,40,19,18,43,61,131,50,11,Punjab-Jandiala,Jandiala
6,DHARMINDER SINGH,Sanjhi Virasat Party,8,10,9,6,16,38,8,8,6,8,8,8,16,5,10,4,Punjab-Jandiala,Jandiala
7,BAKHSHISH SINGH UPPAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),219,247,194,295,254,303,255,135,219,318,101,124,98,92,247,246,Punjab-Jandiala,Jandiala
8,HARPAL SINGH,Independent,8,11,17,15,9,16,16,12,10,14,12,17,25,14,14,4,Punjab-Jandiala,Jandiala
9,GURNAM SINGH DAUD,Independent,87,61,73,153,92,154,157,121,113,58,71,32,65,26,31,14,Punjab-Jandiala,Jandiala
10,PARAMJEET KAUR,Independent,46,38,31,27,74,26,48,23,44,48,49,32,42,29,33,17,Punjab-Jandiala,Jandiala
11,BIKAR SINGH,Independent,48,33,35,32,35,47,40,30,38,50,45,55,48,27,49,23,Punjab-Jandiala,Jandiala
12,NOTA,None of the Above,61,61,58,67,56,54,46,61,49,56,63,72,87,37,64,24,Punjab-Jandiala,Jandiala
