O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Sikander Singh Maluka,Shiromani Akali Dal,2667,3833,4383,3849,3191,3262,3495,3539,3172,2511,2533,2797,2890,2639,625,Punjab-Rampura Phul,Rampura Phul
2,Gurpreet Singh Kangar,Indian National Congress,2263,2472,2386,2037,2644,2633,1974,1862,2008,1464,1638,1264,1556,1520,356,Punjab-Rampura Phul,Rampura Phul
3,Balkar Singh Sidhu,Aam Aadmi Party,3557,3752,2994,3561,3177,2970,3939,4338,4277,4717,4729,4969,4408,3445,882,Punjab-Rampura Phul,Rampura Phul
4,Amarjit Singh Sharma,Punjab Lok Congress Party,29,14,29,32,12,21,22,30,25,85,198,258,182,83,3,Punjab-Rampura Phul,Rampura Phul
5,Baljinder Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),245,177,186,115,204,180,151,225,309,141,84,44,180,243,45,Punjab-Rampura Phul,Rampura Phul
6,Sikander Singh,Independent,1,4,5,7,5,5,4,6,5,1,5,4,0,4,0,Punjab-Rampura Phul,Rampura Phul
7,Sikander Singh,Independent,7,2,15,9,3,9,13,2,4,5,6,3,4,3,2,Punjab-Rampura Phul,Rampura Phul
8,Harinderjeet Singh,Independent,8,6,7,9,8,3,3,15,2,5,7,5,2,12,0,Punjab-Rampura Phul,Rampura Phul
9,Gurpreet Singh,Independent,5,10,1,6,6,4,8,7,7,0,6,4,4,10,0,Punjab-Rampura Phul,Rampura Phul
10,Charan Singh,Independent,18,9,12,16,8,13,12,17,11,14,18,10,15,17,0,Punjab-Rampura Phul,Rampura Phul
11,Jaskaran Singh,Independent,9,5,14,3,7,5,5,7,5,7,7,1,9,5,0,Punjab-Rampura Phul,Rampura Phul
12,Pritam Singh,Independent,1,19,12,10,8,8,9,17,5,12,9,4,11,17,3,Punjab-Rampura Phul,Rampura Phul
13,Bavlesh Kumar,Independent,15,7,23,17,16,16,18,21,22,16,17,12,15,19,6,Punjab-Rampura Phul,Rampura Phul
14,Rajbir Singh Sidhu,Independent,19,17,23,30,22,24,30,38,47,28,29,20,31,23,7,Punjab-Rampura Phul,Rampura Phul
15,Lakhvir Singh,Independent,19,20,29,22,21,13,22,38,26,30,22,11,27,25,4,Punjab-Rampura Phul,Rampura Phul
16,NOTA,None of the Above,28,51,51,49,42,46,71,63,60,53,48,44,49,41,13,Punjab-Rampura Phul,Rampura Phul
