O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,SARABJIT SINGH MAKKAR,Bharatiya Janata Party,1564,1916,2000,1820,1540,916,856,1731,1016,637,417,508,176,173,224,264,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
2,SURINDER SINGH SODHI,Aam Aadmi Party,2457,2231,2955,2437,2777,2777,2225,1767,2371,1646,2816,1692,1625,1331,2402,1153,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
3,JAGBIR SINGH BRAR,Shiromani Akali Dal,1284,1167,1286,923,1115,1707,2044,1384,1641,2070,2421,2177,2535,2415,1827,1175,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
4,PARGAT SINGH POWAR,Indian National Congress,2589,1354,2507,1987,2135,2995,2810,1159,2160,3464,3074,3164,3267,3525,2703,1614,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
5,SATNAM ALEER,Aazad Samaj Party (Kanshi Ram),29,6,40,26,19,32,45,17,33,48,37,45,75,60,52,33,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
6,SUKHJINDER KUMAR,Peoples Party of India (Democratic),11,2,9,6,4,11,17,2,10,16,13,16,9,26,12,117,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
7,SUNIL BABBAR,Samajwadi Party,5,7,14,8,5,16,8,6,6,14,13,17,15,12,14,10,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
8,GURMUKH SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),45,38,49,41,101,129,81,22,73,113,160,104,170,321,214,103,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
9,RIBIKA,Bahujan Mukti Party,25,9,19,6,21,18,13,4,24,37,27,25,17,18,21,5,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
10,JASWINDER SINGH SANGHA,Independent,73,108,107,181,111,76,65,15,34,49,108,109,209,263,312,54,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
11,NOTA,None of the Above,57,80,82,72,92,70,43,32,50,40,61,47,56,40,61,34,Punjab-Jalandhar Cantt.,Jalandhar Cantt.
