O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,MANJINDER SINGH LALPURA,Aam Aadmi Party,3213,3049,3340,3344,3964,4134,2819,3709,3765,3297,4061,3602,2726,2716,2754,3536,1257,Punjab-Khadoor Sahib,Khadoor Sahib
2,RANJIT SINGH BRAHAMPURA,Shiromani Akali Dal,2300,2663,2765,2523,1959,2792,2214,2406,2158,1643,2035,2065,2604,1930,2558,2629,1173,Punjab-Khadoor Sahib,Khadoor Sahib
3,RAMANJEET SINGH SAHOTA SIKKI,Indian National Congress,1994,1996,2508,2867,2318,2427,2512,2284,2778,2482,2294,2278,2388,2141,2144,2616,1128,Punjab-Khadoor Sahib,Khadoor Sahib
4,JASWANT SINGH SOHAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),233,199,246,411,335,267,423,248,386,356,230,411,344,496,509,291,70,Punjab-Khadoor Sahib,Khadoor Sahib
5,PURAN SINGH SHEIKH,Bahujan Samaj Party (Ambedkar),54,68,81,88,74,66,95,49,91,64,52,88,74,93,110,55,22,Punjab-Khadoor Sahib,Khadoor Sahib
6,HARJINDER SINGH TANDA,Independent,56,50,97,84,113,98,326,69,308,516,71,237,294,150,64,54,20,Punjab-Khadoor Sahib,Khadoor Sahib
7,GURDEV SINGH,Independent,49,46,44,61,53,72,66,48,64,37,40,32,44,46,52,42,20,Punjab-Khadoor Sahib,Khadoor Sahib
8,VARINDER SINGH BHINDER (VICKY BHINDER),Independent,34,33,23,26,29,39,29,25,49,28,23,35,32,22,39,25,9,Punjab-Khadoor Sahib,Khadoor Sahib
9,NOTA,None of the Above,65,53,64,65,83,81,80,51,89,40,88,65,56,39,54,58,20,Punjab-Khadoor Sahib,Khadoor Sahib
