O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,OM PARKASH SONI,Indian National Congress,2239,2140,1797,3235,1945,1930,1701,1987,2023,2714,2828,2244,Punjab-Amritsar Central,Amritsar Central
2,AJAY GUPTA,Aam Aadmi Party,2872,3265,2650,3185,3706,3389,4104,4579,3758,3130,3609,2501,Punjab-Amritsar Central,Amritsar Central
3,DALVIR KAUR,Bahujan Samaj Party,475,208,317,512,130,176,240,405,376,423,529,217,Punjab-Amritsar Central,Amritsar Central
4,DR. RAM CHAWLA,Bharatiya Janata Party,1623,1809,1770,1725,1742,1403,806,746,607,589,577,128,Punjab-Amritsar Central,Amritsar Central
5,ONKAR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),41,35,18,18,39,56,65,55,45,85,91,81,Punjab-Amritsar Central,Amritsar Central
6,RAMESH CHAND @ MAHANT RAMESHANAND,Aas Punjab Party,24,19,77,52,113,75,47,57,27,74,65,32,Punjab-Amritsar Central,Amritsar Central
7,NOTA,None of the Above,55,48,38,57,51,64,44,62,57,67,91,60,Punjab-Amritsar Central,Amritsar Central
