O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,SUKHPAL SINGH KHAIRA,Indian National Congress,2530,2616,2875,2836,2762,3082,3407,3386,3396,3319,2563,2951,1366,Punjab-Bholath,Bholath
2,BIBI JAGIR KAUR,Shiromani Akali Dal,3181,2794,2791,2531,2131,1771,2462,1604,1336,2865,1691,1943,785,Punjab-Bholath,Bholath
3,RANJIT SINGH RANA,Aam Aadmi Party,469,876,680,832,688,884,1062,725,1161,1904,1478,1533,1236,Punjab-Bholath,Bholath
4,AMANDEEP SINGH GORA GILL,Punjab Lok Congress Party,47,49,40,18,44,345,162,139,68,189,36,42,11,Punjab-Bholath,Bholath
5,SARBJIT SINGH LUBANA,Sanyukt Sangharsh Party,45,85,56,60,71,58,33,50,40,52,56,92,45,Punjab-Bholath,Bholath
6,HARPREET KAUR,Republican Party of India (A),9,14,7,4,6,9,11,15,9,10,44,11,18,Punjab-Bholath,Bholath
7,RAJINDER SINGH FAUJI,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),549,709,637,852,512,441,449,792,565,385,754,629,302,Punjab-Bholath,Bholath
8,SUKHWINDER SINGH MIRZAPURI,Independent,6,14,7,16,9,11,11,18,19,22,10,15,6,Punjab-Bholath,Bholath
9,GURWINDER SINGH (RAJA BAJWA),Independent,11,17,13,15,13,28,31,24,18,57,26,27,26,Punjab-Bholath,Bholath
10,JOGINDER SINGH MAAN,Independent,55,36,89,74,116,40,60,61,44,78,30,58,15,Punjab-Bholath,Bholath
11,NOTA,None of the Above,37,58,45,63,45,60,61,51,57,98,46,63,34,Punjab-Bholath,Bholath
