O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,Amrinder Singh Raja Warring,Indian National Congress,3848,4095,3358,3642,3739,4329,4060,4163,4242,4307,4041,4971,1373,265,Punjab-Gidderbaha,Gidderbaha
2,Hardeep Singh Dimpy Dhillon,Shiromani Akali Dal,4010,4056,3853,4402,4385,3414,4473,4428,4340,3660,3225,3642,971,194,Punjab-Gidderbaha,Gidderbaha
3,Pritpal Sharma,Aam Aadmi Party,3724,2975,3598,3062,3605,4325,2053,1859,3609,3542,2904,2405,590,105,Punjab-Gidderbaha,Gidderbaha
4,Om Parkash,Punjab Kisan Dal,19,16,19,20,20,19,9,6,19,26,18,19,5,1,Punjab-Gidderbaha,Gidderbaha
5,Om Parkash,Punjab Lok Congress Party,13,12,14,10,17,12,11,3,10,47,113,96,20,1,Punjab-Gidderbaha,Gidderbaha
6,Kuldeep Singh,Bahujan Mukti Party,11,10,7,9,6,13,9,7,7,12,15,24,5,0,Punjab-Gidderbaha,Gidderbaha
7,Gurjinder Singh,Marxist Leninist Party of India (Red Flag),7,10,6,5,2,9,1,5,49,9,7,11,4,0,Punjab-Gidderbaha,Gidderbaha
8,Amandeep Singh,Independent,27,29,24,16,23,31,17,13,20,19,7,14,6,2,Punjab-Gidderbaha,Gidderbaha
9,Shivji Singh,Independent,33,26,29,36,27,25,17,31,28,22,13,8,5,0,Punjab-Gidderbaha,Gidderbaha
10,Hardeep Singh,Independent,24,26,37,30,31,38,31,23,35,31,19,23,11,1,Punjab-Gidderbaha,Gidderbaha
11,Gurpreet Singh Kotli,Independent,72,118,46,80,115,75,62,89,67,62,27,47,7,4,Punjab-Gidderbaha,Gidderbaha
12,Vikramjit Singh,Independent,36,49,43,37,40,35,34,24,54,55,20,42,8,0,Punjab-Gidderbaha,Gidderbaha
13,NOTA,None of the Above,103,83,88,99,101,105,75,62,101,90,52,85,30,7,Punjab-Gidderbaha,Gidderbaha
