O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,Devinder Singh Dhapai,Bahujan Samaj Party,920,734,645,1016,288,281,213,512,373,327,483,534,822,1435,Punjab-Kapurthala,Kapurthala
2,Manju Rana,Aam Aadmi Party,1813,2001,2083,2110,3040,3408,3072,3025,3856,2964,2727,2215,2242,1942,Punjab-Kapurthala,Kapurthala
3,Ranjit Singh Khojewal,Bharatiya Janata Party,103,76,125,497,871,1075,884,715,900,577,286,167,203,185,Punjab-Kapurthala,Kapurthala
4,Rana Gurjeet Singh,Indian National Congress,3627,3092,3451,3532,2851,2644,2575,4792,2565,2787,3137,2716,3075,2908,Punjab-Kapurthala,Kapurthala
5,Suraj Kumar,Bahujan Samaj Party (Ambedkar),60,78,41,56,15,21,65,69,61,25,29,60,74,43,Punjab-Kapurthala,Kapurthala
6,Harpreet Singh,Sanjhi Virasat Party,20,52,43,35,13,4,15,23,5,13,19,20,29,31,Punjab-Kapurthala,Kapurthala
7,Narinder Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),172,273,179,288,83,115,84,104,174,202,284,515,865,464,Punjab-Kapurthala,Kapurthala
8,Kulwant Singh Jossan,Independent,62,150,38,105,58,31,33,37,56,67,62,84,100,100,Punjab-Kapurthala,Kapurthala
9,NOTA,None of the Above,41,41,39,50,38,49,47,61,47,33,42,24,52,49,Punjab-Kapurthala,Kapurthala
