O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,PAWAN KUMAR ADIA,Indian National Congress,2377,2151,2845,1963,2084,2057,2356,2517,2184,2562,2667,2477,2413,2953,3160,2445,Punjab-Sham Chaurasi,Sham Chaurasi
2,MOHINDER SINGH SANDHAR,Bahujan Samaj Party,265,410,816,630,578,538,978,706,1142,984,781,847,1280,1402,755,1245,Punjab-Sham Chaurasi,Sham Chaurasi
3,DR.RAVJOT SINGH,Aam Aadmi Party,3609,3830,4585,4264,4124,5757,4440,3714,3788,3189,3599,3358,3269,3485,2813,2378,Punjab-Sham Chaurasi,Sham Chaurasi
4,DES RAJ DHUGGA,Shiromani Akali Dal (Sanyukt),377,1401,158,115,122,201,120,68,55,68,62,104,62,84,41,61,Punjab-Sham Chaurasi,Sham Chaurasi
5,MOHINDER LAL,Samajik Sangharsh Party,49,59,51,43,63,50,68,44,52,76,28,43,31,44,30,34,Punjab-Sham Chaurasi,Sham Chaurasi
6,KARAMJIT SINGH BABLU JOSH,Independent,121,100,132,132,144,103,292,148,276,197,466,312,542,245,187,50,Punjab-Sham Chaurasi,Sham Chaurasi
7,BHAGWAN DASS,Independent,32,63,55,69,86,37,79,60,98,96,140,74,185,410,263,169,Punjab-Sham Chaurasi,Sham Chaurasi
8,NOTA,None of the Above,74,56,87,71,58,62,95,56,54,59,49,83,75,90,63,53,Punjab-Sham Chaurasi,Sham Chaurasi
